rank	term	category	confidence	total_count	hate_count	non_hate_count	annotation_count	definition	reason
164	物化女性	Sexism	0.95	6	6	0	5	指将女性视为物品或性对象，贬低女性人格尊严的言论，常用于攻击或指责女性自我物化或他人物化行为。	所有样本均用于仇恨语境，且网络证据显示该术语常用于性别歧视和贬低女性，属于仇恨言论。
165	黑人都是	Racism	0.95	8	8	0	1	该短语用于对黑人群体进行负面概括和贬低，常与刻板印象和仇恨言论相关联，如将黑人描述为‘灾祸的根源’、‘进化失败的猩猩’等。	所有标注样本均为仇恨言论，主要涉及种族主义，且网络证据支持该短语常用于种族歧视语境。
166	黑北方的总部	Region	0.95	5	5	0	5	该短语用于指代一个针对中国北方和河南地区进行系统性贬低和攻击的所谓‘总部’，带有强烈的地域歧视和仇恨色彩。	所有5个样本均标注为仇恨类别，且明确用于表达对北方人的地域歧视和仇恨。网络证据也显示‘黑北方’是常见的地域黑用语，该短语作为其变体，具有明确的仇恨含义。
167	黑河南	Region	0.95	49	44	5	37	用于贬低、歧视河南地区及河南人的仇恨言论，常与负面刻板印象（如偷盗、愚昧）关联。	该术语在数据集和网络证据中均明确用于地域歧视性攻击，属于典型的地域黑仇恨言论。
168	姆蛆	Sexism	0.95	4	4	0	6	将女性贬低为蛆虫的侮辱性词汇，用于攻击和歧视女性。	数据集所有样本均为仇恨言论，类别为性别歧视；网络证据显示该词为歧视语，常用于贬低女性。
169	东北被	Region	0.95	11	11	0	0	指东北地区被系统性地域歧视和攻击的现象，常用于表达对东北人的负面刻板印象和仇恨言论。	该术语在数据集和网络证据中均明确用于描述对东北地区的地域歧视和仇恨攻击，所有标注样本均为仇恨类别，且网络搜索证实其常用于地域黑语境。
171	黑小孩	Racism	0.95	6	6	0	5	指代黑人儿童时带有贬低、歧视色彩，常与负面刻板印象（如血统顽固、被抛弃、令人不适）关联，用于表达种族歧视。	数据集6个样本全部标注为仇恨，且上下文明确包含种族歧视言论；网络证据虽未直接定义该词为侮辱性，但提供了种族歧视用语背景，结合高仇恨比例，支持纳入。
172	原住民	Racism	0.9	6	6	0	5	在仇恨言论中，“原住民”被用来贬低或歧视特定族群，常与负面刻板印象（如未开化、懒惰、暴力）相关联，或用于攻击其他种族（如黑人）的语境中。	数据集显示所有6个样本均为仇恨言论，且类别纯度为1.0（全部为种族主义）。网络证据表明该词在特定语境下被用作贬义，如“番仔”指未开化原住民。结合两者，该词在仇恨言论中具有明确的种族歧视含义。
175	又丑	Racism	0.9	5	5	0	4	用于贬低特定种族（尤其是黑人）的外貌，常与'又黑'、'又臭'等词连用，构成种族歧视和性别歧视的侮辱性表述。	所有样本均为仇恨使用，且与种族歧视和性别歧视高度相关，网络证据也支持其侮辱性用法。
176	当舔狗	Sexism	0.9	4	4	0	3	用于贬低那些过度讨好女性、放弃自尊的男性，常与性别歧视言论结合，暗示女性利用或操纵男性。	数据集和网络证据均显示该词在上下文中被用于性别歧视性侮辱，贬低男性并暗示女性操纵。
178	正常女	Sexism	0.9	7	7	0	5	该术语用于将女性划分为“正常”和“非正常”两类，通常贬低不符合传统性别角色或种族偏好的女性，如女权主义者或与黑人交往的女性，构成性别歧视和种族歧视。	数据集和网络证据均显示该词常被用于区分所谓‘正常女性’与‘非正常女性’，结合性别歧视和种族歧视内容，具有明确的攻击性。
179	黑种人	Racism	0.95	6	6	0	6	该术语在中文语境中常被用于表达对黑人群体的种族歧视，包括贬低智商、宣扬种族隔离、暗示基因优越性等仇恨言论。	数据集所有样本均为仇恨言论，且网络证据显示该词常被用于种族歧视语境，结合两者判断应纳入研究词典。
180	母人	Sexism	0.95	7	7	0	8	将女性贬低为动物（如用“母”修饰），暗示女性智商低下、吸血、不会做饭等，用于侮辱和歧视女性。	所有样本均为仇恨标签，且网络证据显示该词被用于性别歧视和侮辱，将女性比作动物。
182	艾滋病感染率	Racism	0.95	6	6	0	5	该术语在仇恨言论中用于将艾滋病感染率与特定群体（如非洲人、黑人、同性恋者、女性）关联，暗示这些群体是疾病传播的源头，构成歧视性和仇恨性言论。	数据集和网络证据均显示该术语被频繁用于污名化特定群体，缺乏非仇恨性使用，且样本中所有标注均为仇恨言论。
183	黑北方的都	Region	0.95	6	6	0	1	用于指代对北方地区进行负面评价的人群，带有地域歧视和仇恨色彩，属于针对北方群体的仇恨言论。	该术语在样本中用于攻击北方人，如'黑北方的都是南蛮'，具有明显的地域歧视和侮辱性，且所有标注样本均为仇恨类别。
184	北方的都是	Region	0.95	6	6	0	1	该短语用于指代针对北方人的地域歧视性言论，常与'黑河南'、'南蛮'等贬义词汇共现，构成对北方人群体的攻击和污名化。	数据集证据显示该短语在6个样本中全部被标注为仇恨言论，且与'黑河南'、'南蛮'等地域歧视词汇共现；网络证据进一步证实该短语用于南北地域歧视语境。
185	铁拳	Sexism	0.9	4	4	0	4	在中文网络语境中，'铁拳'被用作隐喻，指代对女性群体的暴力压制或惩罚，常与'女拳'等词结合，表达对女性主义或女性的敌意和攻击性。	数据集4个样本全部标注为仇恨且属于性别歧视类别，上下文明确显示'铁拳'用于攻击女性群体，如'给小酰钕尝尝被铁拳砸的滋味'。网络证据虽部分涉及游戏，但样本一致表明其仇恨用法。
186	驱逐	Racism	0.9	8	8	0	6	用于煽动或表达对特定种族、民族或地区群体的排斥、驱逐或歧视，常与种族主义或地域歧视言论结合。	所有标注样本均为仇恨类别，主要分类为种族主义，样本中明确用于针对黑人、浙江人等群体的驱逐言论，且网络证据显示该词在仇恨语境中频繁使用。
187	腐女	Sexism	0.9	8	8	0	10	腐女一词在仇恨言论中用于贬低和攻击喜欢BL（男男恋）作品的女性，常与厌女和恐同情绪结合，暗示她们是“腐烂的女人”或行为不当，构成性别歧视和性取向歧视。	数据集显示该词在8个样本中全部被标注为仇恨，主要涉及性别歧视和LGBTQ歧视；网络证据表明该词常被用作侮辱性称呼，带有厌女色彩。综合判断该词在仇恨语境中具有攻击性，应纳入研究词汇表。
188	你们北方	Region	0.95	6	6	0	2	用于在南方与北方对立语境中，将北方群体作为整体进行贬低、嘲讽或歧视，常与'北佬'、'人上人'等贬称连用，暗示北方落后、依赖南方或素质低下。	数据集所有6个样本均为仇恨标注，类别为Region，且上下文明确包含地域歧视；网络证据显示'你们北方'常与'北佬'等贬称关联，用于地域攻击。
190	没啥存在感	Region	0.9	5	5	0	5	用于贬低中国某些省份或地区，暗示其无足轻重、缺乏影响力，构成地域歧视。	数据集5个样本全部标注为仇恨言论，且均针对中国省份（安徽、吉林、东北、广西）进行贬低；网络证据显示该短语被用于地域歧视。
191	配不上中国女人	Sexism	0.95	5	5	0	5	该短语用于贬低中国男性，暗示他们不配与中国女性在一起，是一种性别歧视言论。	数据集和网络证据均显示该短语在上下文中用于贬低中国男性，带有性别歧视和侮辱性，符合仇恨言论特征。
193	黑人白	Racism	0.9	7	7	0	4	该术语用于指代黑人和白人群体，常与负面刻板印象（如体味、混血恶心）和敌意关联，属于种族歧视性语言。	数据集证据显示该术语在7个样本中全部被标注为仇恨，主要涉及种族主义；网络证据也支持其用于种族歧视语境。术语本身并非固定贬义词，但在当前语境中几乎全部用于仇恨表达。
195	重拳出击	Racism	0.9	4	4	0	1	在仇恨言论中，用于表达对特定种族（尤其是黑人）群体的攻击性、侮辱性言论，常与种族歧视和排外情绪相关。	数据集样本全部为仇恨言论，且均涉及种族歧视；网络证据显示该词在特定语境下被用于攻击性言论，结合两者判断应纳入。
196	骂河南人	Region	0.95	6	6	0	3	用于针对河南人的侮辱性言论，属于地域歧视，常出现在仇恨言论和地域黑语境中。	数据集所有样本均为仇恨言论，且网络证据一致表明该短语用于地域歧视和侮辱，具有强烈的贬损含义。
197	骂东北	Region	0.95	6	6	0	3	用于表达对东北地区或东北人的攻击性、歧视性言论，常出现在地域黑语境中。	数据集所有样本均为仇恨类别，且类别为地域歧视；网络证据显示该短语常用于攻击东北人。
198	非洲去	Racism	1.0	6	6	0	3	用于要求黑人返回非洲，表达种族排斥和歧视，具有仇恨性质。	所有标注样本均为仇恨言论，类别为种族主义，且无任何非仇恨使用。
199	女人也	Sexism	0.95	8	8	0	1	该短语在上下文中用于贬低或物化女性，常出现在性别歧视言论中，例如“女人也没用”、“女人连牲口的待遇都不会有”等，表达对女性的轻视或仇恨。	数据集所有8个样本均标注为仇恨言论，主要类别为性别歧视，且样本内容明确显示该短语用于贬低女性。网络证据虽未直接确认该短语为固定黑话，但结合数据集高精度和一致性，支持将其纳入研究词典。
200	那些女拳	Sexism	0.95	4	4	0	3	该词是“女权”的谐音侮辱性变体，用于贬低和攻击女权主义者，常出现在性别对立语境中，带有强烈的敌意和歧视。	数据集和网络证据均一致表明该词在仇恨语境中使用，且无中性或正面用法。
202	所有国际鬼子虫类	Racism	0.95	3	3	0	3	该词组将'国际鬼子'（对日本人的蔑称）与'虫类'（将人贬低为虫子）结合，用于侮辱和攻击非中国人群体，尤其是日本人，构成种族歧视和仇恨言论。	数据集显示3个样本全部标注为仇恨，且类别为种族主义；网络证据表明'鬼子'和'虫类'均为侮辱性词汇，组合后强化了仇恨含义。
203	么丑	Sexism	0.95	5	5	0	4	用于贬低女性外貌，常与种族歧视结合，针对特定群体（如黑人、亚裔）进行侮辱。	所有标注样本均为仇恨言论，且结合种族和性别歧视，具有明确的侮辱性。
206	黑人搞	Racism	0.95	7	7	0	5	用于贬低和污名化与黑人发生性关系的女性，并暗示黑人是危险的、携带艾滋病等负面刻板印象，属于种族歧视和性别歧视的仇恨言论。	该短语在数据集样本中全部用于仇恨语境，结合种族歧视和性别歧视，且网络证据显示其与侮辱性词汇相关，因此支持作为仇恨/冒犯性/编码群体指称词汇。
207	黑社会	Region	0.9	6	6	0	5	用于对特定地域群体（如东北人、安徽人）进行负面刻板印象和歧视性描述，暗示该群体成员参与黑社会活动。	数据集样本中全部6条标注为仇恨，且均用于地域歧视；网络证据显示该词常被用作贬低特定群体的标签。
208	这个索玛女王	Sexism	0.95	6	6	0	1	该术语用于指代一位名为'索玛女王'的微博女权大V，常伴随性别歧视性言论，如'女拳'、'挑拨性别对立'等，用于攻击和贬低该人物及其所代表的女性主义立场。	数据集和网络证据均显示该术语在全部样本中用于仇恨语境，主要针对一位女性公众人物，内容涉及性别歧视和攻击，符合仇恨/攻击性群体指代词汇的定义。
209	肖万	Racism	0.95	7	7	0	7	该词指代杀害乔治·弗洛伊德的白人警察德里克·肖万，被用作种族主义仇恨言论，赞扬其暴力行为，并针对黑人群体进行贬低。	数据集和网络证据均显示该词几乎全部用于仇恨语境，被用来赞扬杀害黑人的警察，表达对黑人群体的敌意，属于种族歧视性编码语言。
211	黑人还	Racism	0.95	6	6	0	4	该短语在中文网络语境中常被用于贬低黑人群体，例如将黑人与大猩猩类比、暗示黑人血统顽固、或作为负面比较对象，具有明显的种族歧视和仇恨色彩。	数据集和网络证据均显示该短语在多个上下文中用于贬低黑人群体，具有强烈的种族歧视和仇恨色彩，且无任何非仇恨用法。
212	南蛮	Region	0.95	11	10	1	12	指代南方人，带有贬低和歧视意味，常用于地域攻击。	数据集10/11标注为仇恨，网络证据显示其为地域歧视用语，且样本中用于攻击南方人。
213	太恶心	hate	0.9	8	8	0	2	用于表达对特定群体（如同性恋、跨性别者、特定地区人群等）的强烈厌恶和歧视，属于仇恨言论。	数据集和网络证据均显示该短语在样本中频繁用于攻击LGBTQ群体、特定地域人群等，具有明确的贬损和仇恨含义，且所有标注样本均为仇恨言论。
214	的小仙女	Sexism	0.9	6	6	0	4	在中文网络语境中，“的小仙女”被用作对年轻女性的贬义标签，常与“公主病”、“特权诉求”、“过度维权”等负面行为关联，用于讽刺、贬低或攻击女性群体，带有性别歧视和仇恨色彩。	数据集所有样本均标注为仇恨言论，且类别主要为性别歧视；网络证据显示该词已演变为贬义标签，常用于性别对立攻击。
217	键盘侠	Racism	0.9	6	6	0	4	用于攻击特定群体（如种族、性别）的侮辱性称呼，指代在网络上发表极端、歧视性言论的人。	数据集和网络证据均显示该词在仇恨言论中用于攻击种族和性别群体，具有明确的歧视性。
218	说黑	Racism	0.95	14	14	0	2	用于贬低、侮辱黑人群体，暗示其低劣或不受欢迎，常与种族歧视言论关联；也用于地域歧视，如攻击北方人。	该术语在数据集和网络证据中几乎全部用于仇恨语境，主要针对黑人群体，带有明显的种族歧视色彩，且无已知的非仇恨用法。
219	看到黑人	Racism	0.95	6	6	0	1	该短语在中文网络语境中常被用于表达对黑人群体的厌恶、歧视或刻板印象，例如将黑人描述为“出没”、“洋垃圾”或引发“憎恶”情绪，构成种族歧视性语言。	所有6个样本均标注为仇恨言论，且全部属于种族歧视类别；网络证据显示该短语与种族歧视词汇“黑鬼”关联，具有明确的冒犯性。
220	没有黑人	Racism	0.95	6	6	0	1	该短语用于表达中国没有黑人种族，从而否认种族歧视的存在，但实际是在合理化对黑人的排斥和歧视，属于种族主义言论。	所有样本均标注为仇恨言论，且内容明确表达对黑人的排斥和歧视，如'中国籍没有黑人'、'中国自古以来就没有黑人这个种族'等，结合网络证据，该短语被用于种族主义言论。
221	lgbt	LGBTQ	0.9	7	7	0	6	在仇恨言论中，'lgbt'被用作对性少数群体的贬称，常伴随嘲讽、污名化和攻击性描述，如指责其双标、传播疾病或与阴谋论关联。	数据集所有样本均为仇恨用法，且网络证据显示该词常用于反LGBTQ语境，具有侮辱性。
222	为黑人	Racism	0.95	6	6	0	3	该短语在中文网络语境中常被用于表达对黑人的贬低、排斥或攻击，例如质疑产品“为黑人生产的？低档货？”或煽动“防范黑人的人种侵入”，属于种族主义仇恨言论。	数据集显示该短语全部出现在仇恨语境中，且与种族歧视高度相关；网络证据进一步证实其常用于侮辱性言论。
224	女拳师	Sexism	0.95	4	4	0	3	该词是'女权'的谐音贬称，用于攻击和贬低女权主义者，常出现在仇恨言论中，带有性别歧视色彩。	数据集样本全部标注为仇恨，且网络证据显示该词是侮辱性称呼，用于攻击女权主义者。
225	舔狗不	Sexism	0.95	5	5	0	0	该术语用于贬低对女性过度殷勤的男性，常与性别歧视言论关联，如将女性称为'幕刃'或贬低男性为'舔狗'，构成性别歧视和仇恨言论。	数据集全部5个样本均为仇恨言论，且全部标注为性别歧视；网络证据显示该词具有侮辱性含义，常用于性别歧视语境。
226	怪物	LGBTQ	0.9	8	8	0	6	用于贬低、侮辱或非人化LGBTQ群体（尤其是同性恋者）的歧视性用语，也用于种族和性别歧视语境。	数据集样本中8个实例全部标注为仇恨，且明确用于指代LGBTQ群体（如“通讯录怪物”），同时涉及种族和性别歧视；网络证据显示该词作为侮辱性用语广泛使用。
227	大人	Region	0.85	20	19	1	18	在中文网络语境中，'大人'常被用作后缀或组合词（如'南大人'、'上大人'、'羊大人'）来指代特定地域或群体，带有贬低、嘲讽或歧视意味，用于攻击或贬损该群体。	数据集显示19个仇恨样本，主要关联地域歧视，也涉及种族和性别歧视；上下文判断支持其为歧视性用语；网络证据虽未直接证实，但样本中明确用于贬低特定群体。
228	女拳要	Sexism	0.95	4	4	0	1	该术语是'女拳'的变体，用于贬低和攻击女权主义者，常出现在性别对立和仇恨言论中，暗示其要求无理或极端。	数据集和网络证据均显示该词用于攻击女权主义者，属于性别歧视性仇恨言论。
230	拳和	Sexism	0.95	4	4	0	2	用于贬低和攻击女性主义者，暗示其极端、无理取闹，常与'女拳'同义，属于性别歧视性黑话。	该术语在数据集和网络证据中均被用于贬低女性主义者，带有侮辱性和攻击性，属于性别歧视的仇恨言论。
232	井盖	Region	0.95	43	39	4	37	井盖在中文网络语境中常被用作对河南人的侮辱性代称，源于'河南人偷井盖'这一地域歧视性刻板印象，用于贬低和攻击河南人群体。	数据集显示该词在43个样本中有39个被标注为仇恨言论，主要针对河南人，且网络证据证实其作为地域歧视用语广泛使用。
233	黑哥哥	Racism	0.95	6	6	0	9	用于贬低和歧视黑人男性，常与性、污染、低等关联，带有种族主义和性别歧视色彩。	所有样本均为仇恨用法，结合网络证据表明该词与种族歧视相关，且常与性别歧视和地域歧视交织。
234	非洲黑人	Racism	0.94	15	14	1	14	该术语在中文语境中常被用于贬低和歧视非洲黑人，传播负面刻板印象，如智力低下、懒惰、乞讨等，并与侮辱性词汇'黑鬼'关联，构成种族仇恨言论。	数据集显示14/15条标注为仇恨，主要涉及种族主义内容；网络证据证实其常与侮辱性词汇关联，用于传播负面刻板印象和仇恨言论。
235	男人没	Sexism	0.85	7	7	0	4	该短语在上下文中用于贬低男性群体，表达对男性的负面刻板印象或歧视性言论，如'男人没有存在的必要'、'男人没理想'等，属于性别歧视用语。	数据集证据显示该短语在7个样本中全部被标注为仇恨，且主要类别为性别歧视（Sexism），上下文明确包含对男性的贬低。网络证据虽未发现该短语作为独立黑话，但支持其作为性别歧视用语的一部分。综合判断，该短语在仇恨言论研究中具有纳入价值。
239	焦虑问题的通讯录	LGBTQ	0.95	4	4	0	3	该短语将性别焦虑（性别认同障碍）与同性恋者（通讯录）关联，用于贬低和攻击LGBTQ群体，暗示其心理异常或病态。	数据集样本中该短语100%用于仇恨语境，全部标注为LGBTQ类别，且上下文明确显示其用于贬损LGBTQ群体。网络证据虽未直接解释该短语，但样本充分支持其作为仇恨用语。
240	低人一等	Racism	0.95	6	6	0	4	用于贬低特定群体（如华人、黑人、南方人、女性），暗示其社会地位低下，具有歧视性和攻击性。	该术语在数据集中几乎全部用于表达种族歧视，如将中国人描述为低人一等，或用于贬低黑人、南方人等群体，具有明显的歧视性和攻击性。网络证据也显示其常用于仇恨言论语境。
242	来中国的	Racism	0.9	6	6	0	3	该短语在仇恨言论中用于指代来华外国人（尤其是黑人和白人），并常与性行为、犯罪、低素质等负面刻板印象关联，构成种族歧视和性别歧视。	数据集显示该短语在6个样本中全部标注为仇恨言论，涉及种族和性别歧视；网络证据也支持其常用于歧视性语境。
243	东南沿海	Region	0.9	5	5	0	4	在仇恨语境中，'东南沿海'被用来指代一个被认为歧视北方/河南的群体，暗示该地区是地域攻击的源头，具有攻击性。	数据集显示该词在5个样本中全部被标注为仇恨，且与地域歧视相关；网络证据也支持其被用于负面语境。综合判断应纳入研究词典。
244	郭女	Sexism	0.95	7	7	0	8	用于贬低中国女性的侮辱性称呼，常与负面外貌描述（如卸妆恐怖、整容）和贬低性比较（如不如外国女性）结合，属于性别歧视性仇恨言论。	数据集和网络证据均显示该词在上下文中明确用于贬低中国女性，具有高度性别歧视和仇恨言论特征。
245	婊子	Sexism	0.95	4	4	0	5	用于侮辱女性，暗示其道德败坏或性行为不检点，常与性别歧视和种族歧视结合使用。	该词在数据集和网络证据中均被证实为高度仇恨性词汇，主要用于性别歧视，部分用例涉及种族歧视，符合纳入标准。
246	个黑	Racism	0.95	52	48	4	23	该词是'黑鬼'的缩写或变体，用于贬低和侮辱黑人群体，常出现在种族歧视语境中。	数据集证据显示该词在52个样本中有48个被标注为仇恨，hate_precision高达0.92，主要出现在种族主义语境中；网络证据也证实其作为'黑鬼'的变体用于侮辱黑人。
247	中国女拳	Sexism	0.95	4	4	0	4	该词是'女权'的谐音贬称，用于攻击女权主义者，常与性奴、脑残、吹牛等负面刻板印象关联，并与其他国家女性对比以贬低中国女性，属于性别歧视和地域歧视的仇恨言论。	数据集样本全部标注为仇恨，且网络证据显示该词被广泛用作侮辱性绰号，结合上下文明确包含性别歧视和地域歧视内容。
248	又丑又	Racism	0.95	4	4	0	4	用于贬低特定种族群体（如黑人）或性别群体（如女性），常与'又黑又丑'等组合使用，构成种族歧视和性别歧视的仇恨言论。	数据集样本全部标注为仇恨，且结合上下文明确针对种族和性别群体进行贬低；网络证据显示该短语常用于侮辱性语境，具有明确的歧视含义。
250	哥布林	Racism	0.95	6	6	0	7	在中文网络语境中，“哥布林”被用作侮辱性词汇，指代特定人群（如女性、犹太人等），常与种族主义和性别主义关联，用于贬低、攻击他人。	数据集显示该词在6个样本中全部被标注为仇恨言论，主要涉及种族主义和性别主义；网络证据也证实其在中文网络中被用作侮辱性词汇，具有明确的歧视含义。
251	龟男舔狗	Sexism	0.95	3	3	0	5	用于贬低和侮辱男性，指责其盲目顺从女性、讨好女性，并认为这种行为助长了女权主义，属于性别歧视性仇恨言论。	数据集和网络证据均一致表明该词组在多个语境中用于贬低和侮辱男性，常与性别歧视和仇恨言论相关联，符合仇恨/冒犯性词汇的定义。
252	天赋	Racism	0.9	7	7	0	4	在仇恨言论中，'天赋'一词常被用于贬低特定种族或地域群体，暗示其所谓的天赋是虚假、低劣或仅适用于特定领域，从而否定该群体的整体价值。	数据集样本中7条全部标注为仇恨，且明确用于贬低黑人和东北人，结合网络证据显示该词在特定语境下具有侮辱性，但本身并非仇恨词汇，需结合上下文判断。
257	中国男人的	Sexism	0.95	6	6	0	1	该短语用于贬低中国男性群体，将负面特质（如错误、祸害）归咎于所有中国男性，构成性别歧视和仇恨言论。	所有标注样本均为仇恨言论，且样本中明确将中国男性与负面评价关联（如“中国男人的错”、“中国男人应该灭绝”），结合网络证据中该短语在性别歧视语境中的高频使用，支持其作为仇恨/攻击性术语。
258	些女	Sexism	0.95	28	27	1	22	“些女”在仇恨语境中用于贬低女性群体，常与侮辱性描述（如物化、与疾病关联、贬低价值）结合，表达对女性的蔑视和攻击。	数据集显示27/28为仇恨样本，主要类别为性别歧视；网络证据支持其用于侮辱女性；样本内容明确包含性别歧视和仇恨。
259	中国男人配不上	Sexism	0.95	5	5	0	2	该短语用于贬低中国男性，暗示中国男性在外表、气质、能力等方面配不上中国女性，常被用作性别歧视和侮辱性言论。	数据集和网络证据均显示该短语几乎全部用于仇恨语境，主要针对中国男性进行性别歧视攻击，且常与地域和种族歧视结合。
260	男人配不上中国	Sexism	0.9	5	5	0	2	该短语用于贬低中国男性，暗示他们在外表、气质或能力上配不上中国女性，常伴随性别歧视和地域歧视。	数据集和网络证据均显示该短语在多个语境中被用于攻击中国男性，具有明确的性别歧视性质，且无非仇恨用法。
262	黑人白人	Racism	0.95	6	6	0	3	该短语在中文网络语境中常被用于表达对黑人和白人的种族歧视，通常与贬低、排斥、侮辱性言论相关联，如将黑人白人视为异类、攻击其体味、贬低其血统等。	数据集所有样本均为仇恨言论，主要类别为种族主义；网络证据显示该短语常出现在种族歧视内容中，且与侮辱性词汇关联。
264	txl	LGBTQ	0.95	52	47	5	56	txl是“同性恋”的拼音首字母缩写，在网络语境中常被用于指代同性恋群体，且大量样本显示其被用于仇恨言论，如“txl必死”、“感到txl恶心”等，表达对同性恋群体的歧视、攻击或负面刻板印象。	数据集显示该词在52个样本中有47个被标注为仇恨，且上下文包含明显歧视性内容；网络证据确认其为同性恋的缩写，并广泛用于仇恨言论。
265	西安人	Region	0.95	5	5	0	5	该术语在仇恨言论中用于指代西安人，常伴随地域歧视、贬低和攻击性言论，如诅咒、嘲讽其优越感等。	数据集和网络证据均显示该术语在样本中频繁用于地域仇恨言论，如'西安人死绝'、'西安人优越感可太高了'等，且所有标注样本均为仇恨类别，无非仇恨样本。
266	自古以来	Region	0.9	7	7	0	1	该短语在仇恨言论中被用作修辞工具，通过声称某群体或领土‘自古以来’属于某一方，来构建排外、歧视或领土主张的论述，例如否定种族歧视的存在或排斥特定群体。	数据集和网络证据均显示该短语在多个样本中被用于支持种族歧视、地域歧视和恐同言论，如‘中国自古以来就没有黑人’、‘自古以来就存在’（同性恋）等，具有明确的仇恨用途。
267	剩女	Sexism	0.95	6	6	0	6	用于贬低和侮辱大龄未婚女性的歧视性称呼，暗示她们是“被剩下的”、不受欢迎的，常与负面刻板印象关联。	数据集6个样本全部标注为仇恨且属于性别歧视类别，网络证据显示该词被广泛用于侮辱和歧视大龄未婚女性，符合仇恨/冒犯性术语标准。
268	横行	Sexism	0.9	7	7	0	6	用于描述女权、女拳或特定种族（如黑人）的负面行为，带有贬低和攻击性，暗示其泛滥成灾、不受控制。	所有标注样本均为仇恨类别，且与性别歧视、种族歧视等关联紧密，网络证据支持其作为攻击性词汇的用法。
269	黑皮	Racism	0.95	18	17	1	18	指代黑皮肤人群的贬义称呼，常与“白皮”并列使用，表达对非黄种人的排斥和侮辱，具有强烈的种族歧视色彩。	数据集显示该词在18个样本中有17个被标注为仇恨言论，主要涉及种族歧视；网络证据表明该词被视为负面性指代，类似英文中的'nigger'。
270	黑狗	Racism	0.9	4	4	0	4	在中文网络语境中，“黑狗”被用作对黑人的种族歧视称呼，将黑人与动物类比，带有侮辱性。	数据集所有样本均为仇恨言论，主要类别为种族主义；网络证据显示该词常被用于种族歧视，且维基百科列出类似用法。尽管存在非仇恨含义，但作为仇恨用语的使用频率高。
271	媚外女	Sexism	0.95	6	6	0	7	用于贬低和攻击被认为偏好外国男性的中国女性，常与性侮辱（如“丽春院”）和种族歧视（如“黑男人”）结合，构成性别歧视和种族歧视的仇恨言论。	该术语在数据集和网络证据中均明确用于贬低和攻击偏好外国男性的中国女性，常与性侮辱和种族歧视关联，属于仇恨/攻击性群体指称词汇。
272	布林	Racism	0.9	7	7	0	7	“布林”是“哥布林”的简称，在中文网络语境中常被用作侮辱性词汇，指代特定群体（如非自愿单身男性、被歧视的少数族裔等），带有种族主义和性别歧视色彩。	数据集显示7条样本全部标注为仇恨，且类别主要为种族主义和性别歧视；网络证据证实“布林”作为“哥布林”的简称，被用于污名化特定群体，具有攻击性。
273	黑黄	Racism	0.95	7	7	0	7	指黑人与黄种人的混血后代，在中文网络语境中常被用作贬义称呼，带有强烈的种族歧视和厌恶情绪。	所有样本均被标注为仇恨言论，且上下文明确显示该词用于贬低和歧视黑黄混血人群，涉及种族和性别歧视。
275	有性别焦虑问题	LGBTQ	0.95	4	4	0	3	该短语在上下文中被用作贬低跨性别者或性别焦虑者的侮辱性标签，常与'通讯录'（对同性恋的贬称）连用，暗示其性别认同是病态或可耻的。	数据集样本中该短语100%出现在仇恨语境中，与'通讯录'等贬称连用，且用于攻击性语句；网络证据显示其作为医学术语中性，但在样本中被用作歧视性标签。
276	性别焦虑问题的	LGBTQ	0.95	4	4	0	3	该短语在样本中用于贬低跨性别者，与'通讯录'（同性恋贬称）连用，暗示跨性别者'有问题'，构成对LGBTQ群体的攻击性言论。	所有标注均为仇恨言论，类别纯度为1.0，且网络证据显示该短语在语境中被用作侮辱性标签。
277	垃圾	Racism	0.86	51	44	7	43	用于贬低、侮辱特定种族或群体（如黑人、外国人）的词汇，常与“洋垃圾”等组合使用，表达歧视和仇恨。	数据集显示该词在44个仇恨样本中主要用于种族歧视（61次）和性别歧视（47次），网络证据也证实其作为侮辱性词汇常用于仇恨言论。非仇恨用法较少且不针对群体。
278	某省	Region	0.95	6	6	0	5	该术语在中文网络语境中常被用作地域歧视性用语，用于指代特定省份，并带有贬低、嘲讽、污名化等负面含义，如将某省人与‘作风彪悍’、‘卖惨’、‘背黑锅’等负面刻板印象关联，构成对特定地域群体的攻击。	数据集样本中所有标注均为仇恨类别，且全部与地域歧视相关，样本内容明确显示该词用于攻击特定省份群体，如‘东边某省逃荒过来的后裔’、‘南方某省卖惨’等。网络证据虽未直接定义该词为歧视语，但样本和搜索结果均表明其常用于地域攻击。综合判断，该词在仇恨言论中具有明确的地域歧视含义。
279	深柜	LGBTQ	0.95	6	6	0	5	用于指代未公开性取向的同性恋者，常带有贬低、嘲讽或攻击性含义，如'恐同皆深柜实锤'、'深柜竟是反同头子本人'等，属于针对LGBTQ群体的仇恨言论。	该术语在数据集和网络证据中均被用于仇恨语境，常与'恐同即深柜'等侮辱性表述关联，用于攻击或贬低他人，且所有标注样本均为仇恨类别，证据充分。
282	同恋	LGBTQ	0.95	16	15	1	15	该术语在仇恨语境中用于指代同性恋群体，常出现在反同言论中，带有歧视性和攻击性。	数据集显示该词在16个样本中有15个被标注为仇恨，且常出现在反同言论中，如'反同恋吧'、'同恋太丢中国的脸'等。网络证据也表明该词常被用作歧视性用语。
