relation_id	source	target	sense_fit	semantic_reference_fit	rule_fit	source_quality	word_overlap	adoption
CMAD-lexicon_to_query-MT-L2-MT-Q1	CMAD-MT-L2	CMAD-MT-Q1	none			accepted	present	none
CMAD-demo_to_query-MT-D-ANCHOR-MT-Q1	CMAD-MT-D-ANCHOR	CMAD-MT-Q1		none	none	accepted	absent	none
CMAD-demo_to_query-MT-D-ANCHOR-SWAP-MT-Q1	CMAD-MT-D-ANCHOR-SWAP	CMAD-MT-Q1		none	none	disputed	absent	none
CMAD-demo_to_query-MT-D-F-A-MT-Q1	CMAD-MT-D-F-A	CMAD-MT-Q1		none	none	accepted	absent	none
CMAD-demo_to_query-MT-D-F-P-MT-Q1	CMAD-MT-D-F-P	CMAD-MT-Q1		none	none	accepted	present	none
CMAD-demo_to_query-MT-D-F-P-SWAP-MT-Q1	CMAD-MT-D-F-P-SWAP	CMAD-MT-Q1		none	none	disputed	present	none
CMAD-demo_to_query-MT-D-L-A-MT-Q1	CMAD-MT-D-L-A	CMAD-MT-Q1		direct	none	accepted	absent	none
CMAD-demo_to_query-MT-D-L-A-SWAP-MT-Q1	CMAD-MT-D-L-A-SWAP	CMAD-MT-Q1		direct	none	disputed	absent	none
CMAD-demo_to_query-MT-D-L-P-MT-Q1	CMAD-MT-D-L-P	CMAD-MT-Q1		direct	none	accepted	present	none
CMAD-lexicon_to_query-MT-L1-MT-Q2	CMAD-MT-L1	CMAD-MT-Q2	direct			accepted	present	none
CMAD-lexicon_to_query-MT-L2-MT-Q2	CMAD-MT-L2	CMAD-MT-Q2	none			accepted	present	none
CMAD-demo_to_query-MT-D-ANCHOR-MT-Q2	CMAD-MT-D-ANCHOR	CMAD-MT-Q2		none	none	accepted	absent	none
CMAD-demo_to_query-MT-D-ANCHOR-SWAP-MT-Q2	CMAD-MT-D-ANCHOR-SWAP	CMAD-MT-Q2		none	none	disputed	absent	none
CMAD-demo_to_query-MT-D-F-A-MT-Q2	CMAD-MT-D-F-A	CMAD-MT-Q2		none	none	accepted	absent	none
CMAD-demo_to_query-MT-D-F-P-MT-Q2	CMAD-MT-D-F-P	CMAD-MT-Q2		none	none	accepted	present	none
CMAD-demo_to_query-MT-D-F-P-SWAP-MT-Q2	CMAD-MT-D-F-P-SWAP	CMAD-MT-Q2		none	none	disputed	present	none
CMAD-demo_to_query-MT-D-L-A-MT-Q2	CMAD-MT-D-L-A	CMAD-MT-Q2		direct	none	accepted	absent	none
CMAD-demo_to_query-MT-D-L-A-SWAP-MT-Q2	CMAD-MT-D-L-A-SWAP	CMAD-MT-Q2		direct	none	disputed	absent	none
CMAD-demo_to_query-MT-D-L-P-MT-Q2	CMAD-MT-D-L-P	CMAD-MT-Q2		direct	none	accepted	present	none
CMAD-lexicon_to_query-MT-L1-MT-Q3	CMAD-MT-L1	CMAD-MT-Q3	none			accepted	present	none
CMAD-lexicon_to_query-MT-L2-MT-Q3	CMAD-MT-L2	CMAD-MT-Q3	direct			accepted	present	none
CMAD-demo_to_query-MT-D-ANCHOR-MT-Q3	CMAD-MT-D-ANCHOR	CMAD-MT-Q3		none	direct	accepted	absent	none
CMAD-demo_to_query-MT-D-ANCHOR-SWAP-MT-Q3	CMAD-MT-D-ANCHOR-SWAP	CMAD-MT-Q3		none	direct	disputed	absent	none
CMAD-demo_to_query-MT-D-F-A-MT-Q3	CMAD-MT-D-F-A	CMAD-MT-Q3		direct	none	accepted	absent	none
CMAD-demo_to_query-MT-D-F-A-SWAP-MT-Q3	CMAD-MT-D-F-A-SWAP	CMAD-MT-Q3		direct	none	disputed	absent	none
CMAD-demo_to_query-MT-D-F-P-MT-Q3	CMAD-MT-D-F-P	CMAD-MT-Q3		direct	none	accepted	present	none
CMAD-demo_to_query-MT-D-L-A-MT-Q3	CMAD-MT-D-L-A	CMAD-MT-Q3		none	none	accepted	absent	none
CMAD-demo_to_query-MT-D-L-P-MT-Q3	CMAD-MT-D-L-P	CMAD-MT-Q3		none	none	accepted	present	none
CMAD-demo_to_query-MT-D-L-P-SWAP-MT-Q3	CMAD-MT-D-L-P-SWAP	CMAD-MT-Q3		none	none	disputed	present	none
CMAD-lexicon_to_query-MT-L1-MT-Q4	CMAD-MT-L1	CMAD-MT-Q4	none			accepted	present	none
CMAD-lexicon_to_query-MT-L2-MT-Q4	CMAD-MT-L2	CMAD-MT-Q4	direct			accepted	present	none
CMAD-demo_to_query-MT-D-ANCHOR-MT-Q4	CMAD-MT-D-ANCHOR	CMAD-MT-Q4		none	direct	accepted	absent	none
CMAD-demo_to_query-MT-D-ANCHOR-SWAP-MT-Q4	CMAD-MT-D-ANCHOR-SWAP	CMAD-MT-Q4		none	direct	disputed	absent	none
CMAD-demo_to_query-MT-D-F-A-MT-Q4	CMAD-MT-D-F-A	CMAD-MT-Q4		direct	none	accepted	absent	none
CMAD-demo_to_query-MT-D-F-A-SWAP-MT-Q4	CMAD-MT-D-F-A-SWAP	CMAD-MT-Q4		direct	none	disputed	absent	none
CMAD-demo_to_query-MT-D-F-P-MT-Q4	CMAD-MT-D-F-P	CMAD-MT-Q4		direct	none	accepted	present	none
CMAD-demo_to_query-MT-D-L-A-MT-Q4	CMAD-MT-D-L-A	CMAD-MT-Q4		none	none	accepted	absent	none
CMAD-demo_to_query-MT-D-L-P-MT-Q4	CMAD-MT-D-L-P	CMAD-MT-Q4		none	none	accepted	present	none
CMAD-demo_to_query-MT-D-L-P-SWAP-MT-Q4	CMAD-MT-D-L-P-SWAP	CMAD-MT-Q4		none	none	disputed	present	none
CMAD-lexicon_to_demo-MT-L1-MT-D-L-P	CMAD-MT-L1	CMAD-MT-D-L-P	direct			accepted	present	none
CMAD-lexicon_to_demo-MT-L1-MT-D-L-P-SWAP	CMAD-MT-L1	CMAD-MT-D-L-P-SWAP	direct			accepted	present	none
CMAD-lexicon_to_demo-MT-L1-MT-D-L-A	CMAD-MT-L1	CMAD-MT-D-L-A	direct			accepted	absent	none
CMAD-lexicon_to_demo-MT-L1-MT-D-L-A-SWAP	CMAD-MT-L1	CMAD-MT-D-L-A-SWAP	direct			accepted	absent	none
CMAD-lexicon_to_demo-MT-L1-MT-D-F-P	CMAD-MT-L1	CMAD-MT-D-F-P	none			accepted	present	none
CMAD-lexicon_to_demo-MT-L1-MT-D-F-P-SWAP	CMAD-MT-L1	CMAD-MT-D-F-P-SWAP	none			accepted	present	none
CMAD-lexicon_to_demo-MT-L1-MT-D-F-A	CMAD-MT-L1	CMAD-MT-D-F-A	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L1-MT-D-F-A-SWAP	CMAD-MT-L1	CMAD-MT-D-F-A-SWAP	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L1-MT-D-ANCHOR	CMAD-MT-L1	CMAD-MT-D-ANCHOR	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L1-MT-D-ANCHOR-SWAP	CMAD-MT-L1	CMAD-MT-D-ANCHOR-SWAP	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L2-MT-D-L-P	CMAD-MT-L2	CMAD-MT-D-L-P	none			accepted	present	none
CMAD-lexicon_to_demo-MT-L2-MT-D-L-P-SWAP	CMAD-MT-L2	CMAD-MT-D-L-P-SWAP	none			accepted	present	none
CMAD-lexicon_to_demo-MT-L2-MT-D-L-A	CMAD-MT-L2	CMAD-MT-D-L-A	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L2-MT-D-L-A-SWAP	CMAD-MT-L2	CMAD-MT-D-L-A-SWAP	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L2-MT-D-F-P	CMAD-MT-L2	CMAD-MT-D-F-P	direct			accepted	present	none
CMAD-lexicon_to_demo-MT-L2-MT-D-F-P-SWAP	CMAD-MT-L2	CMAD-MT-D-F-P-SWAP	direct			accepted	present	none
CMAD-lexicon_to_demo-MT-L2-MT-D-F-A	CMAD-MT-L2	CMAD-MT-D-F-A	direct			accepted	absent	none
CMAD-lexicon_to_demo-MT-L2-MT-D-F-A-SWAP	CMAD-MT-L2	CMAD-MT-D-F-A-SWAP	direct			accepted	absent	none
CMAD-lexicon_to_demo-MT-L2-MT-D-ANCHOR	CMAD-MT-L2	CMAD-MT-D-ANCHOR	none			accepted	absent	none
CMAD-lexicon_to_demo-MT-L2-MT-D-ANCHOR-SWAP	CMAD-MT-L2	CMAD-MT-D-ANCHOR-SWAP	none			accepted	absent	none
