飞周兄弟 | 还不认亲？ | non_hate | non_hate [END]
孩（串）子（串） | 不能带走 | Sexism | hate [END]
桑嗨仁 | 歧视外地人 | Region | hate [END]
亢让t们 | 团结鼓励让t们风况捏参考棒子锅 | Region | hate [END]
他们 | 东北人 | non_hate | non_hate [END]
我 | 也经常被喷 | non_hate | non_hate [END]
这个女的 | 和中国老公离婚了，带着孩子找了个印度同事 | Sexism, Racism | hate [END]
女孩子 | 不能急 😅 | non_hate | non_hate [END]
血和屈辱 | 你只能二选一 | non_hate | non_hate [END]
那些女人 | 真的是勇敢，生怕得不上病😆 | Sexism | hate [END]
默 | 我真的很讨厌 | non_hate | non_hate [END]
你 | 把国外贬低中国女性的水文当成圣经 | Sexism | hate [END]
答主 | 美国人？😆😆 | non_hate | non_hate [END]
吴母沟 | 再回来祸害国男 | Sexism | hate [END]
拳师 | 好种 | Racism | hate [END]
哪里小偷 | 比武汉少 | Region | hate [END]
现男友 | 别怕啊嫁去巴基斯坦啊 | Sexism | hate [END]
男人 | 舔狗 | Sexism | hate [END]
山东 | 一旦被黑就是两性问题😅 | Region | hate [END]
河南的古汉人 | 最多 | non_hate | non_hate [END]
他 | 去超市偷东西 | non_hate | non_hate [END]
舞蹈区和各大直播平台那些女人 | 不整治她们评论区就干净不了 | Sexism | hate [END]
集美们 | 拿刀真的有用😅 | non_hate | non_hate [END]
同性恋 | 病 | LGBTQ | hate [END]
黑沙口 | 把他赶到森林里 | Racism | hate [END]
EVAHERMAN | 微整形是很管用的🤔👍🏻 | non_hate | non_hate [END]
广西人 | 有东南亚爪哇矮黑人特征 | Region | hate [END]
中国女性 | 东亚女权本就是一丘之貉 | Sexism | hate [END]
聪明人 | 比例太少了 | non_hate | non_hate [END]
他们 | 有立体防御机制 | non_hate | non_hate [SEP] 这样的 | 也会被说成txl捏 | non_hate | non_hate [END]
长得丑 | 活该被变态骚扰 | Sexism | hate [END]
她们 | 贪恋美色 | Sexism | hate [END]
小黑 | 我怎么证明那些跟小黑交往的女生是我们985的？ | Racism | hate [END]
抠脚大汉 | 别装了 | Sexism | hate [END]
那种含有种族歧视的崇洋媚外的 | 让人唾弃 | Racism | hate [END]
安徽人 | 在你们江浙沪的人眼中，安徽的不是挖煤的就是要饭的，剩下的都是黑社会 | Region | hate [END]
你 | 两头开枪 | non_hate | non_hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | hate [END]
easy girl | 接盘 | Sexism | hate [END]
男人 | 男人的命也是命！ | non_hate | non_hate [END]
黑龙江人 | 概率不高 | non_hate | non_hate [END]
她 | 分月付款，生完滚蛋，给别人生去 | Sexism | hate [END]
东北红脖子 | 认为东北最好，目空一切 | Region | hate [SEP] 东北奸 | 认为东北最差，南方是爹 | Region | hate [END]
前列腺 | 还好吗？ | non_hate | non_hate [END]
黑人 | 劳动力 | Racism | hate [SEP] 黑人 | 解放了 | Racism | hate [SEP] 黑人 | 打着“反对种族歧”的旗号惹事 | Racism | hate [END]
女拳 | 怎么搞的跟什么一样 | Sexism | hate [END]
网上打拳的 | 都是男的有钱挣 | Sexism | hate [END]
广东人 | 总体来说的确是丑人多 | Region | hate [SEP] 四川 | 平均颜值高广东几个档次 | Region | hate [END]
阳谋 | 你不防不行，防了也不能全身而退 | non_hate | non_hate [END]
东方卫视 | 女拳卫士 | Sexism | hate [END]
丰县 | 丢尽了江苏的脸 | Region | hate [END]
楼主 | 说的哪里有毛病？ | Sexism | hate [END]
她们 | 这样的思想是现在这个时代的思想 | non_hate | non_hate [END]
安徽人 | 太老实了，甚至弱势 | non_hate | non_hate [END]
欧美主体民族 | 基本没多少了 | Racism | hate [END]
皮套人 | 还真的有粉丝？ | LGBTQ | hate [END]
图个器大活吧 | 器大活好吧 | Sexism | hate [END]
昆仑奴 | 迅速翻身逆袭 | Region | hate [END]
你们这些从心理到生理都变态点玩意儿 | 变态 | LGBTQ | hate [SEP] 你们 | 还要骚扰身边的人甚至未成年 | LGBTQ | hate [END]
男人 | 武力已经被削得越来越弱了 | non_hate | non_hate [END]
安徽 | 在上海被歧视 | Region | hate [END]
结婚 | 真想不懂都22年了解放那么久了 | non_hate | non_hate [END]
北方人上人 | 认为南方人是野蛮人 | Region | hate [END]
苏北最穷的地方 | 能吊打中国的大部分城市 | Region | hate [END]
知乎 | 给男性用的 | Sexism | hate [END]
黑人 | 别在娘家待着碍眼 | Racism | hate [END]
嘿嘿 | 那不是一般的思想 | Sexism | hate [END]
我们的学校 | 做学术研究的 | non_hate | non_hate [END]
亩人 | 需要被尊重？ | non_hate | non_hate [END]
青菜萝卜 | 各有所爱 | non_hate | non_hate [END]
黑人 | 反观黑人..... | Racism | hate [END]
同性恋 | 别举报 | LGBTQ | hate [END]
小仙女 | 爆杀 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | Sexism | hate [END]
知乎 | 很多东北人喜欢代表北方，挑起南北对立 | Region | hate [END]
男的 | 下面就不会这么祥和了 | Sexism | hate [END]
哈尔滨男人 | 好惨 | Region | hate [END]
老赵 | 讲讲中国原住民被大猩猩不当命的现象 | Racism | hate [END]
美国 | 太乱了 | non_hate | non_hate [END]
你老公 | 可能会离婚 | non_hate | non_hate [END]
吴签 | 没有宁波黑人高端 | Region | hate [END]
东夷 | 和剩下三个多少还是有差别的 | non_hate | non_hate [END]
你 | 走路漏屎 | non_hate | non_hate [END]
这个事情 | 信誉受损问题 | non_hate | non_hate [END]
你 | 还想当吧主 | non_hate | non_hate [END]
你 | 去非洲跟黑人去说理性去 | Racism | hate [END]
浙江人 | 钻到钱眼里去了 | Region | hate [SEP] 江苏人 | 地域黑十斗 | Region | hate [SEP] 江苏人 | 独占八斗 | Region | hate [SEP] 江苏人 | 比完经济比教育 | Region | hate [SEP] 江苏人 | 比完教育比两院 | Region | hate [SEP] 江苏人 | 比完两院比状元 | Region | hate [SEP] 江苏人 | 身在江苏，没几个屌钱 | Region | hate [SEP] 江苏人 | 动辄我苏天下无敌，宇宙苏 | Region | hate [END]
小红书上面的女的 | 基本一个比一个丑 | Sexism | hate [END]
他们 | 没有强大的宣传机器 | non_hate | non_hate [END]
国党 | 恨国党的天下 | Racism | hate [END]
女权 | 打压男性 | Sexism | hate [END]
上海夫妻 | 被批判的 | Region | hate [END]
我 | 心累了 | non_hate | non_hate [END]
骗子 | 最多的城市应该是温州 | Region | hate [END]
川渝 | 很歧视北方 | Region | hate [END]
大病 | 容易人传人 | non_hate | non_hate [END]
黑非洲 | 又替黑非洲来抢劫埃及文明啦 | Region | hate [END]
黑贵人 | 用定时化学武器消灭黑贵人，不留一丝痕迹 | Racism | hate [END]
以txl为荣 | 变态 | Sexism | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
害你的那个人 | 恶意传播传染病，是要坐牢的 | non_hate | non_hate [END]
大家 | 可以精法、精苏、精美也可以精澳、精意 | non_hate | non_hate [SEP] 大家 | 千万不可以精尼 | Racism | hate [END]
小仙女 | 舍得酒 | Sexism | hate [END]
前男友 | 黑人 | Racism | hate [SEP] 能接受的 | 都是有绿帽癖的男人 | Sexism | hate [END]
傻B女 | 刷个抖音都有傻B女⭕️ | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和磕药的大户 | Racism | hate [END]
这帮地域黑喷子 | 要对付 | Region | hate [END]
那些找泥搁的女人 | 智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代 | Sexism, Racism | hate [END]
我 | 和你一样也是男同 | LGBTQ | hate [END]
黑人 | 勾搭中国妇女 | Racism | hate [END]
直男扳弯和所谓矫正同性恋 | 都不过是城乡故事 | LGBTQ | hate [END]
广东人 | 坏事都是广东人干的 | Region | hate [END]
幕刃 | 真的该死 | non_hate | non_hate [END]
女人 | 真的是没脑子 | Sexism | hate [END]
卡菲勒 | 同性恋 | LGBTQ | hate [END]
你 | 发这些什么目的 | non_hate | non_hate [END]
穷人家 | 不应该设置防盗门了 | non_hate | non_hate [SEP] 同性恋 | 变态基佬 | LGBTQ, Others | hate [END]
江苏人 | 默认自己是日本的 | Region | hate [END]
他 | 很伟大的科学家 | non_hate | non_hate [SEP] 又同又飞舞的 | 应该骂 | LGBTQ | hate [END]
河南新疆回族人 | 就真的没有一点办法了 | Region | hate [END]
黑人 | 好色 | Racism | hate [END]
饭桶吧主 | 就这战力？ | non_hate | non_hate [END]
薄纱 | 性别焦虑问题 | Sexism | hate [END]
你 | 完全同意你找 | non_hate | non_hate [END]
这男的父母 | 看见我想这老师会被打死 | Sexism | hate [END]
这个故事 | 告诉我们，没有被全国黑过的地方，不是太穷，就是太怂 | Region | hate [END]
这女的 | 真爱了 | Sexism | hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | non_hate | non_hate [END]
黑乐色 | 没有一个 | Racism | hate [END]
女拳 | 自我安慰的话术罢了 | Sexism | hate [END]
你 | 疯狗 | non_hate | non_hate [END]
你 | 绝对不是他说的那种要一棒子打死的人 | non_hate | non_hate [END]
小仙女 | 心地善良 | non_hate | non_hate [END]
女性 | 能提高的的确确是好的趋势 | non_hate | non_hate [END]
女拳师 | 经费没覆盖？😆 | Sexism | hate [END]
北京 | 外地逼 | Region | hate [SEP] 上海 | 乡下人 | Region | hate [END]
这些人 | 没招 | Region | hate [SEP] 这种人 | 上上班，打打游戏，拿着上限八千的工资搞搞歧视，搞完被房东催房租，对房东还满脸记恨 | Region | hate [END]
你们这种人 | 跑得出去 | non_hate | non_hate [END]
黑河南和北方 | 最严重的是西南地区及东北地区 | Region | hate [END]
精神伤害和冷暴力 | 无法定量和定罪 | non_hate | non_hate [END]
黑蛆 | “人” | Racism | hate [END]
拳师 | 没有一个冲 | non_hate | non_hate [END]
他 | 在中国他的味道肯定会很受欢迎吧 | Region | hate [END]
西藏和青海的网友 | 上网那么久就没见过 | Region | hate [END]
度度 | 拿不出证据的话能不能给我道歉啊 | non_hate | non_hate [END]
这一类人 | 真是种花家的不幸 | non_hate | non_hate [END]
同性恋 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
黑 | 轮着黑 | Racism | hate [END]
你这老僵尸 | 要被举报了 | non_hate | non_hate [SEP] 男男 | 违法献血 | LGBTQ | hate [END]
你 | 差与猩猩终成眷属了 | Racism | hate [END]
你 | 一定不会是反串 | non_hate | non_hate [END]
恩施的卷子 | 确定不是黄冈的卷子吗 | non_hate | non_hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上海 | 淹死上海人❤️ | Region | hate [END]
阳光彩虹小黑马 | 摘完棉花吃西瓜 | non_hate | non_hate [END]
中国人 | 低人一等 | Racism | hate [END]
民族 | 自信不够 | non_hate | non_hate [END]
中国人 | 还嫌中国人不够多吗👍👍 | non_hate | non_hate [END]
老黑 | 比特制套子毛妹说还厉害 | Racism | hate [SEP] 猩猩 | 找她们其实是为了找刺激 | Racism | hate [END]
你 | 不就是自己玩游戏玩的不好，还骂别人吗？ | non_hate | non_hate [END]
安徽人 | 不坏 | non_hate | non_hate [END]
大家 | 一起讨论 | non_hate | non_hate [END]
我 | 个人并不认同 | non_hate | non_hate [END]
你 | 这是什么审美 | Racism | hate [SEP] 阁下 | 黑猩猩 | Racism | hate [END]
这狗比贱货 | 打死 | Sexism | hate [END]
南满 | 南满不是人 | Region | hate [END]
宁波工程外教 | 老好人 | non_hate | non_hate [END]
那群老板 | 去霍霍非洲世界小姐们了 | Sexism | hate [END]
女性 | 生产力以及其占有的生产关系远不及男性 | Sexism | hate [END]
lkd | 在随机带走几个 | LGBTQ | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
黑人 | 在中国的土地上这个黑人会不会是非洲国家乌干达的？ | Racism | hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
反自己民族主义的 | 厉害厉害 | non_hate | non_hate [END]
黑人 | 能有什么好事情？ | Racism | hate [END]
国女 | 把我私信炸了 | Sexism | hate [END]
狐臭 | 心口刺痛 | non_hate | non_hate [END]
你 | 应当拥有自由 | non_hate | non_hate [END]
黑人 | 对黑人的一切都有一种心理膈应 | Racism | hate [END]
现代女生 | 接受教育了 | non_hate | non_hate [SEP] 你 | 思想留在三从四德时期吧 | Sexism | hate [END]
女的 | 都是这样 | Sexism | hate [END]
他 | 对妻子不负责任，像陌生人 | non_hate | non_hate [END]
印度人 | 和印度人结婚的女的 | Racism | hate [END]
中国的地方 | 去喜欢中国的地方留学 | non_hate | non_hate [END]
非洲 | 祸害人 | Region | hate [END]
理工科的男女生比例 | 为啥不统计下理工科的男女生比例？ | non_hate | non_hate [END]
zzzq | 都魔怔了 | non_hate | non_hate [END]
蝈腩 | 谦虚点 | non_hate | non_hate [END]
它们 | 穷是他们自己懒惰 | Racism | hate [END]
这个女人 | 没死 | non_hate | non_hate [END]
玉米的黄油 | 变成炳蔚通知书 | non_hate | non_hate [END]
南方人 | 怎么骂东北人 | Region | hate [END]
河南 | 可能会有偷盗的行为 | Region | hate [END]
女籍 | 开除 | Sexism | hate [END]
陕北人 | 黑 | Region | hate [END]
某些山驴b | 喜欢拉黑本大爹 | Region | hate [END]
她们 | 自甘堕落带给我的只有怒其不争的悲伤 | Sexism | hate [END]
黑蛆 | 清楚计划 | Racism | hate [END]
网络地域黑 | 穷是原罪 | Region | hate [END]
国家 | 绝不会允许这种东西大行其道 | non_hate | non_hate [END]
黄种人 | 不care | non_hate | non_hate [END]
黑人 | 土人的一种 | Racism | hate [END]
几个视频 | 都看过 | non_hate | non_hate [END]
eg | 名头是老外安上去 | non_hate | non_hate [END]
这种女的 | 不就是典型的玩的浪不顾家？ | Sexism | hate [END]
男的 | 有玩玩黑人里的美女的想法 | Sexism | hate [END]
知乎同性恋 | 标签第一的帖子 | LGBTQ | hate [END]
河南人 | 多，不好事件就概率性多 | Region | hate [END]
ezg | 我们也没办法 | Sexism | hate [SEP] ezg | 老实人还是祈求以后不会娶到和动物玩过的ezg吧 | Sexism | hate [END]
西方 | 为了用身份政治来控制人民，以保证自己的剥削能够继续，才搞出了这些闹剧 | Racism | hate [END]
你 | 大和民族 | Racism | hate [END]
她们 | 喜欢拳 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Racism | hate [END]
你 | 贵物 | non_hate | non_hate [END]
天下英雄城 | 文明南昌市🐶 | non_hate | non_hate [END]
达雷尔·布鲁克斯 | 被定罪的性犯罪者 | Sexism | hate [END]
这人 | 心里极其残忍 | non_hate | non_hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | hate [END]
你的评论 | 会伤害到别人 | non_hate | non_hate [END]
深柜 | 在反同身边 | LGBTQ | hate [END]
年度格斗场 | 哈哈 | non_hate | non_hate [END]
某些txl | 还是要不要自欺欺人了 | LGBTQ | hate [END]
上海人 | 被举报说这两个人在偷偷骂他 | Region | hate [END]
艾滋病 | 好好治也能活很久的 | non_hate | non_hate [END]
安徽 | 没啥存在感吧 | Region | hate [END]
这个题主 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | Racism | hate [END]
黑人 | 发黑人丑照 | Racism | hate [END]
基佬 | 艾滋 | LGBTQ | hate [END]
女拳 | 应该还有些好点的女人 | Sexism | hate [END]
她 | 中资企业还雇佣她吧 | non_hate | non_hate [END]
回族 | 有什么问题？ | non_hate | non_hate [END]
男人 | 自律一点，不要婚前性行为，也不要婚后嫖娼 | Sexism | hate [END]
米国的事 | 各位就别管了 | non_hate | non_hate [END]
內個虛空法師 | 猪精 | Sexism | hate [END]
处女膜 | 流血 | non_hate | non_hate [END]
南方 | 比北方穷 | non_hate | non_hate [END]
同 | 撑同 | LGBTQ | hate [END]
河南人 | 真该算算全中国到底有多少中原口音的人 | Region | hate [END]
基狫 | 打出血了你也有伤口了就会 | LGBTQ | hate [END]
性别比例失调 | 有什么不能理解吗？ | non_hate | non_hate [END]
娶黑人 | 也会被骂 | Racism | hate [END]
小红书资深用户 | 腹肌小哥哥 | Sexism | hate [END]
河南人 | 快被黑成贬义词了 | Region | hate [END]
nc女人 | 淘汰 | Sexism | hate [END]
地域黑 | 明明视频里的人的口音就不是河南的，新闻标题非要扣到河南头上😭见过太多次了 | Region | hate [END]
中国女人 | 大家不信中国女人了 | Sexism | hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
情商 | 太低 | non_hate | non_hate [END]
评论区 | 谁破防了 | non_hate | non_hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 大开眼界 | Region | hate [END]
你 | 长啥样 | non_hate | non_hate [END]
你 | 活在这个世界上的唯一理由就是拿这些个例中的个例还有一些我估计你都不知道什么意思的所谓哲学家说过的话告诉我们女性对世界贡献更大 | Sexism | hate [END]
人家 | 带着任务赚流量的🤣 | non_hate | non_hate [END]
同性恋的支持者 | 我讨厌同性恋 | LGBTQ | hate [END]
你 | 读书读糊涂了 | non_hate | non_hate [END]
以前的工作 | 大都是体力活，干净不了 | non_hate | non_hate [END]
姐姐 | 你的圈子有点小 | Sexism | hate [END]
黑哥 | 常规操作了 | Racism | hate [END]
我 | 不懂什么是踩评论 | non_hate | non_hate [END]
她们 | 自低自贱 | Sexism | hate [SEP] 她们 | 存在会让我国混血变多，艾滋病变多 | Racism | hate [SEP] 入汉族的黑串串 | 已经很多了 | Racism | hate [END]
河南人 | 还不错 | non_hate | non_hate [END]
吧里有些老哥 | 看不到所谓主要矛盾 | non_hate | non_hate [END]
这些女的 | 喜欢留学生也就罢了 | Sexism | hate [END]
琪贵人 | 发誓的时候你想掐死她吗？ | non_hate | non_hate [END]
台资 | “声名远扬” | Region | hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 怪 | Racism | hate [END]
黑人 | 到现在还有原始社会 | Racism | hate [END]
爱猩动保人士 | 爱猩动保人士 | non_hate | non_hate [END]
这边 | 如果这边是20年，对面搞不好也就15年 | non_hate | non_hate [END]
谁家街留子 | 要这玩意，要了马上就降两档次 | Sexism | hate [END]
我同学 | 坐火车从南京到太原 | non_hate | non_hate [SEP] 我 | 一东北人根本听不懂 | non_hate | non_hate [END]
嘿枸 | 全身弥漫着低劣程度的气息 | Racism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
它 | 抽它一耳光 | non_hate | non_hate [END]
重庆 | 反同 | Region | hate [END]
你 | 有本事就弄死他们啊 | LGBTQ | hate [END]
基佬 | 真不是一般的恶心 | LGBTQ | hate [END]
txl | 去死 | non_hate | non_hate [END]
果子狸 | 前几年很嚣张举报都没用 | non_hate | non_hate [END]
国男 | 性获取难度 | Sexism | hate [END]
我们内地 | 被他们黑得很惨 | Region | hate [END]
女拳 | 无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益 | Sexism | hate [END]
彩礼 | 违法 | non_hate | non_hate [END]
喵神 | 果然是高！把事情说透了，还能让人挑不出骨头来！ | non_hate | non_hate [END]
她们 | 热爱自由我支持 | non_hate | non_hate [END]
哥布林 | 不出现在人类面前的哥布林才是好哥布林 | Racism | hate [END]
我山东人 | 自卑 | non_hate | non_hate [END]
杨圣母 | 出来恶心全体男性的时候怎么看不到它站出来 | Sexism | hate [END]
中国 | 配不上你 | Region | hate [END]
你们男的 | 都去找机器人 | Sexism | hate [END]
那些来路不明的女的 | 要一定搞清楚来历啊 | Sexism | hate [END]
黑人 | 去读黑人人种研究的书吧 | Racism | hate [END]
easy girl | 这也比国男好得多 | Sexism | hate [END]
答主 | 反感 | non_hate | non_hate [END]
畒 | 破防啦 | non_hate | non_hate [END]
某电子厂 | 招人，招聘广告里第一行最大五个字，不招河南人 | Region | hate [END]
那个男的 | 接这盘，一辈子抬不起头 | Sexism | hate [END]
反同小将 | 战淋 | LGBTQ | hate [END]
b乎 | 人均985 | non_hate | non_hate [END]
东北人 | 很讨厌阿 | Region | hate [END]
人形畜狌 | 寄声 | Racism | hate [SEP] 人形畜狌 | 寄声 | Racism | hate [SEP] 人形畜狌 | 寄犯种群铁律亘古不变真理只在射程之内 | Racism | hate [END]
四川各大高校 | 根本不是 | non_hate | non_hate [END]
贴吧系统 | 多发几次就行了 | non_hate | non_hate [END]
中国男人 | 那样的中国男人 | Sexism | hate [SEP] 中国女人 | 已经不是那样的中国女人了 | Sexism | hate [END]
唐朝前期的公主外嫁 | 和后面的五胡乱华有很大关系哟 | non_hate | non_hate [END]
魔方基因 | 听就不靠谱😆 | non_hate | non_hate [END]
结了婚的通讯录 | 出瑰的几乎为零 | non_hate | non_hate [END]
这个 | 友军 | non_hate | non_hate [END]
宁 | 比得上人家吗 | non_hate | non_hate [END]
你 | 真把自己当回事了 | non_hate | non_hate [END]
这几个博主 | 到处蹭热度 | Region | hate [END]
这女的 | 祸害 | Sexism | hate [END]
臭gay | 原来是个 | LGBTQ | hate [END]
重男轻女 | 存在 | Sexism | hate [END]
鼻涕虫交配 | 自然 | LGBTQ | hate [END]
某些大学 | 一年十几万几十万请连汉字都不认识多少的“高材生”？ | non_hate | non_hate [END]
甄子丹 | 被人歧视 | Racism | hate [END]
你这种烂鲍鱼 | 普信女 | Sexism | hate [END]
欧洲小国 | 对中国人印象不错 | non_hate | non_hate [END]
基佬 | 炼铜 | LGBTQ | hate [END]
我 | 恋爱 | non_hate | non_hate [END]
这种垃圾 | 不值得生气 | non_hate | non_hate [END]
黑人 | 不乱生垃圾丢在国内污染环境 | Racism | hate [END]
楼上 | 感觉他们两广被黑了 | Region | hate [END]
普信男 | 普信女 | Sexism | hate [END]
你 | 基因“本能”厌恶同性恋 | LGBTQ | hate [END]
主页 | 和不同的白楠yy | Sexism | hate [END]
小仙女 | 不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 据说好像还原谅了她 | non_hate | non_hate [END]
微博 | 能是什么好地方！ | non_hate | non_hate [END]
贵物男 | 拳帖被删了 | Sexism | hate [END]
舔狗约炮 | 都必须体验分娩 | Sexism | hate [END]
这只狗狗的YD | 长在了猩猩身上 | Racism | hate [END]
拳师 | 高级妆 | non_hate | non_hate [END]
浙江 | 气候而言。并不宜居 | non_hate | non_hate [END]
东北河南 | 一家亲 | non_hate | non_hate [END]
三非黑人 | 该驱逐驱逐 | Region, Racism | hate [END]
这种 | 为牢房准备的犯人 | non_hate | non_hate [END]
txl | 没码 | Sexism | hate [END]
兄弟 | 口味有点重 | non_hate | non_hate [END]
你 | 天津的 | Region | hate [END]
反串 | 差评 | LGBTQ | hate [END]
基佬 | 它们在现实生活中活得太憋屈了 | LGBTQ | hate [END]
第二个母吠 | 删我评 | Sexism | hate [END]
你们同性恋 | 饥不择食 | LGBTQ | hate [END]
男靴 | 穿的人也太少！ | Sexism | hate [END]
美国 | 做乞丐 | Region | hate [SEP] 中国山东大学 | 不得飞黄腾达 | Region | hate [END]
东北 | 被黑的最惨的 | Region | hate [SEP] 南方 | 不受妹子待见 | Region | hate [END]
雀食男同 | 恶心 | LGBTQ | hate [END]
这玩意 | 把这玩意从笼子里面放出来的 | non_hate | non_hate [END]
江西和苏北八竿子打不着的地方 | 互相完全不了解 | Region | hate [END]
好人 | 就该被枪指着 | non_hate | non_hate [END]
黑人女性 | 中国男人会跟黑人女性交往吗… | Racism | hate [END]
800的小姐 | 提非常高的情绪价值 | Sexism | hate [END]
硅南 | 能不能死一死？ | non_hate | non_hate [END]
66666 | 在b站看过一个视频 | non_hate | non_hate [END]
圣土桖洗嘿枸 | 涤清圣土桖洗嘿枸 | Racism | hate [END]
江浙 | 地域黑最多 | Region | hate [END]
广东人 | 攻击广西自己就不东南亚了？ | Region | hate [END]
兄弟们 | 坚守某乎的阵地，保卫B站，贴吧，逐渐向微博推进 | non_hate | non_hate [END]
安徽 | 被黑很惨 | Region | hate [END]
非洲 | 去非洲 | Region | hate [SEP] 非洲人 | 与非洲人恋爱甚至结婚 | Region | hate [SEP] 女方 | 绝对不能去男方的家里 | Sexism | hate [SEP] 外国人 | 不要跟外国人上床、恋爱甚至结婚 | Others | hate [END]
父母 | 极力劝阻女儿不要嫁 | non_hate | non_hate [END]
吴越（包括上海本地） | 占大概70-80% | non_hate | non_hate [END]
日本女人 | 媚白 | Sexism | hate [END]
黑人 | 事太多了 | Racism | hate [END]
我们同性恋 | 太正确了 | LGBTQ | hate [END]
黑家伙 | 偏要找个黑家伙 | Racism | hate [END]
国外 | 比较开放 | non_hate | non_hate [END]
非洲很多国家 | 被殖民者强行拉进工业社会 | Region | hate [END]
外籍男子 | 醉酒闹事、公然袭警 | non_hate | non_hate [END]
你 | 这波种族歧视我服 | Racism | hate [END]
人家 | 高贵的异性恋男性 | Sexism | hate [END]
资本家 | 只有资本家才能入犹太教当犹太人 | Racism | hate [END]
腐癌 | 那不是腐癌？ | LGBTQ | hate [END]
我 | 岭南山区的 | non_hate | non_hate [SEP] 湖南人 | 与广西交界处 | non_hate | non_hate [END]
国男 | 想想怎么让自己不接盘更实际 | Sexism | hate [END]
黑人 | 在现实见到黑人也这么说？ | Racism | hate [END]
男孩子 | 惨唉😔 | non_hate | non_hate [END]
答主 | 气得我想笑 | non_hate | non_hate [SEP] 帝国主义 | 亡我中华之心不死 | Racism | hate [END]
喜欢搞地域黑的三大区域 | 长三角三省市，珠三角，西部某都 | Region | hate [END]
安徽人 | 被黑的原因应该跟河南差不多的😅 | Region | hate [END]
直男 | 单纯恶心 | Sexism | hate [SEP] 男同 | do爱吧 | LGBTQ | hate [END]
女权 | 杀光女权，一个不留！ | Sexism | hate [END]
下面那个回复 | 太有才了 | non_hate | non_hate [END]
女人 | 我从来不看女人的朋友圈 | Sexism | hate [END]
同性恋 | 收敛一些 | LGBTQ | hate [END]
它 | 超时空爱情 | non_hate | non_hate [END]
嘿 | 跪舔嘿看到后很不开心 | LGBTQ | hate [END]
你 | 和男人doi的 | Sexism | hate [END]
基佬 | 恶心 | LGBTQ | hate [SEP] 蕾丝边 | 恶心 | LGBTQ | hate [END]
河南人 | 说河南话就是河南人？ | non_hate | non_hate [END]
幕刃 | 给我添堵 | Sexism | hate [END]
我 | 可爱又帅气 | non_hate | non_hate [END]
春哥 | 兼具了男人的阳刚和女人阴柔 | LGBTQ | hate [END]
我东北人 | 嫁到唐山 | Region | hate [END]
同性恋 | 该扭曲变态思想挺多的 | LGBTQ | hate [END]
女拳 | 恐婚 | Sexism | hate [END]
中国人生孩子 | 外国黑人生后代 | Racism | hate [END]
河南 | 穷 | Region | hate [END]
卡肺囊虫肺炎和隐脑 | 大几率会死人 | non_hate | non_hate [END]
他 | 选择转移话题 | non_hate | non_hate [END]
女拳 | 组织力度之强，声势浩大 | Sexism | hate [END]
底层男人 | 嫁不到处女 | Sexism | hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | non_hate | non_hate [END]
wb | 纯杀软 | non_hate | non_hate [END]
江苏 | 脾气就这样，小市民思想比较重 | Region | hate [END]
歪国敌特和网特分裂势力 | 彻底与那些歪门邪道者绝缘 | Racism | hate [END]
华裔警察 | 什么也没做吧 | non_hate | non_hate [END]
黑北京的 | 哪有黑上海的多 | Region | hate [END]
媒体 | 从大到小，好事就算东北人做的只提发生地点（南方），坏事就算南方人在东北做的也只提东北 | Region | hate [END]
十八线小城 | 几个外国人？😓 | Region | hate [END]
河南人 | 最了解被地域黑的痛苦 | Region | hate [END]
同性恋 | 可耻的！是错误的！是会破坏世界的！ | LGBTQ | hate [END]
西安人 | 死绝🙂 | Region | hate [END]
辽宁 | 真没资格鄙视中部 | Region | hate [END]
这女的 | 贵物 | Sexism | hate [END]
同性恋 | 用大便来形容 | LGBTQ | hate [END]
自己 | 很狭隘的 | non_hate | non_hate [END]
中国男人 | 不配我们中国女人🙂 | Sexism | hate [END]
慕刃 | 引流一堆慕刃把环境都搞臭了 | Sexism | hate [END]
他们 | 占我们便宜的都得死😄 | non_hate | non_hate [END]
生动有趣 简洁明了的例子 | 秒啊 | non_hate | non_hate [END]
