飞周兄弟 | 还不认亲？ | Racism | hate [END]
你 | 血和屈辱你只能二选一 | non_hate | non_hate [END]
那些女人 | 真是勇敢，生怕得不上病😆 | Sexism, Racism | hate [END]
默 | 我真的很讨厌 | Racism | hate [END]
你 | 把国外贬低中国女性的水文当成圣经 | Sexism, Racism | hate [END]
答主 | 你怎么知道答主是中国人 | non_hate | non_hate [END]
默 | 物尽其用 | Racism | hate [SEP] 吴母沟 | 祸害国男 | Sexism, Racism | hate [END]
拳师 | 坏种 | Sexism | hate [END]
小偷 | 哪里小偷比武汉少 | Region | hate [END]
独立女性 | 嫁去巴基斯坦啊 | Sexism, Racism | hate [END]
男人 | 舔狗 | Sexism | hate [END]
山东 | 一旦被黑就是两性问题😅 | Region | hate [END]
留在河南的古汉人 | 最多 | non_hate | non_hate [END]
他 | 去超市偷东西 | non_hate | non_hate [END]
舞蹈区和各大直播平台那些女人 | 不整治她们评论区就干净不了 | Sexism | hate [END]
集美们 | 拿刀真的有用😅 | Sexism | hate [END]
同性恋 | 病才要上药 | LGBTQ | hate [END]
黑沙 | 把他赶到森林里 | Racism | hate [END]
EVAHERMAN | 看起来很年轻 | non_hate | non_hate [END]
广西人 | 有东南亚爪哇矮黑人特征 | Region | hate [SEP] 东南亚人 | 不喜欢 | Region | hate [END]
东亚女权 | 一丘之貉 | Sexism, Region | hate [END]
聪明人 | 比例太少了 | non_hate | non_hate [END]
他们 | 有立体防御机制 | LGBTQ | hate [SEP] 这样的 | 也会被说成txl捏 | LGBTQ | hate [END]
长得丑 | 活该被变态骚扰 | Sexism | hate [END]
她们 | 不要贪恋美色 | Sexism | hate [END]
跟小黑交往的女生 | 是我们985的 | Sexism, Racism | hate [END]
抠脚大汉 | 别装了 | Sexism | hate [END]
含有种族歧视的崇洋媚外的 | 让人唾弃 | Racism | hate [END]
安徽人 | 在你们江浙沪的人眼中，安徽的不是挖煤的就是要饭的，剩下的都是黑社会 | Region | hate [END]
你 | 两头开枪 | non_hate | non_hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | hate [END]
easy girl | 骗我接盘 | Sexism | hate [SEP] 婊子 | 让我发现不会放过 | Sexism | hate [END]
男人 | 不适宜的就忍受呗？ | non_hate | non_hate [END]
黑龙江人 | 概率不高 | non_hate | non_hate [END]
她 | 分月付款，生完滚蛋，给别人生去 | Sexism | hate [END]
东北红脖子 | 认为东北最好，目空一切 | Region | hate [SEP] 东北奸 | 认为东北最差，南方是爹 | Region | hate [END]
前列腺 | 还好吗？ | non_hate | non_hate [END]
黑人 | 和他们的副产品打着“反对种族歧”的旗号惹事 | Racism | hate [END]
女拳 | 怎么搞的跟什么一样 | Sexism | hate [END]
网上打拳的 | 男的有钱挣 | Sexism | hate [END]
广东人和广西人 | 丑人多 | Region | hate [END]
你 | 防了也不能全身而退 | non_hate | non_hate [END]
东方卫视 | 女拳卫士 | Sexism | hate [END]
丰县 | 丢尽了江苏的脸 | Region | hate [END]
媚黑女 | 就一个 | Sexism, Racism | hate [SEP] 大部分女生 | 根本看不上黑人 | Sexism, Racism | hate [END]
她们 | 这样的思想是现在这个时代的思想 | non_hate | non_hate [END]
安徽人 | 大多数在网上太老实了，甚至弱势 | non_hate | non_hate [END]
欧美主体民族 | 没多少了 | Region | hate [SEP] 混血民族 | 现在都是 | Racism | hate [SEP] 女拳 | 拜女拳的服 | Sexism | hate [END]
皮套人 | 还真的有粉丝？ | Sexism | hate [END]
None | 图个器大活好吧 | Sexism | hate [END]
昆仑奴 | 攻击 | Racism | hate [END]
你们这些从心理到生理都变态点玩意儿 | 恶心 | Others | hate [END]
男人 | 武力已经被削得越来越弱了 | Sexism | hate [END]
安徽 | 在上海被歧视 | Region | hate [END]
None | 不结婚就完事了 | non_hate | non_hate [END]
北方人 | 人上人 | Region | hate [SEP] 南方人 | 野蛮人 | Region | hate [END]
苏北 | 最穷的地方能吊打中国的大部分城市 | Region | hate [END]
你 | 既然知乎是给男性用的，你能不能销号啊 | Sexism | hate [END]
黑人 | 嫁黑人就去非洲 | Racism | hate [END]
None | 被嘿嘿玩过的 | Sexism | hate [END]
我们的学校 | 妓院 | Others | hate [END]
亩人 | 需要被尊重？ | non_hate | non_hate [END]
有人 | 爱吃煤 | non_hate | non_hate [END]
黑人 | 反观黑人..... | Racism | hate [END]
同性恋 | 别举报 | LGBTQ | hate [END]
小仙女 | 爆杀 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | Sexism | hate [END]
知乎 | 很多东北人喜欢代表北方，挑起南北对立 | Region | hate [END]
男的 | 下面就不会这么祥和了，得被骂得满脸血 | Sexism | hate [END]
哈尔滨男人 | 好惨 | Region, Sexism | hate [END]
中国原住民 | 被大猩猩不当命的现象 | Racism | hate [END]
美国 | 太乱了 | non_hate | non_hate [END]
你老公 | 可能会离婚 | non_hate | non_hate [END]
吴签 | 没有宁波黑人高端 | Region | hate [END]
东夷 | 和剩下三个多少还是有差别的 | non_hate | non_hate [END]
你 | 走路漏屎吗 | non_hate | non_hate [END]
男的 | 知道不是全部女生都会找黑人 | non_hate | non_hate [END]
你这个** | 还想当吧主 | non_hate | non_hate [END]
你 | 去非洲跟黑人去说理性去 | Racism | hate [END]
江苏 | 地域黑十斗，江苏人独占八斗 | Region | hate [END]
小红书上面的女的 | 基本一个比一个丑 | Sexism | hate [END]
你 | 他们 | non_hate | non_hate [END]
国党 | 恶意搞分裂 | Others | hate [END]
女权 | 打压男性 | Sexism | hate [END]
上海夫妻 | 被批判 | Region, Racism | hate [END]
我 | 发布的文章也说我带有歧视 | non_hate | non_hate [END]
温州 | 骗子最多的城市 | Region | hate [END]
川渝 | 很歧视北方，也是带节奏带最狠的 | Region | hate [END]
大病 | 人传人 | non_hate | non_hate [END]
黑非洲 | 又替黑非洲来抢劫埃及文明啦 | Racism | hate [END]
黑贵人 | 定时化学武器消灭 | Racism | hate [END]
txl | 变态 | LGBTQ | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
你 | 恶意传播传染病，是要坐牢的 | Others | hate [END]
尼 | 精尼 | Racism | hate [END]
小仙女 | 人手一箱舍得酒 | Sexism | hate [END]
前男友 | 黑人 | Racism | hate [SEP] 能接受的 | 有绿帽癖的男人 | Sexism, Racism | hate [END]
傻B女⭕️ | 刷个抖音都有 | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和磕药的大户 | Racism | hate [END]
地域黑喷子 | 大家要团结起来对付这帮地域黑喷子 | Region | hate [END]
找泥搁的女人 | 智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代 | Sexism | hate [END]
我 | 男同 | LGBTQ | hate [END]
黑人 | 专门勾搭中国妇女 | Racism | hate [END]
同性恋 | 不能被矫正 | LGBTQ | hate [SEP] 直男 | 扳弯和所谓矫正同性恋一样，都不过是城乡故事 | LGBTQ | hate [END]
广东人 | 坏事 | Region | hate [END]
幕刃 | 该死 | Sexism | hate [END]
女人 | 真的没脑子 | Sexism | hate [END]
卡菲勒 | 同性恋 | LGBTQ | hate [END]
你 | 发这些什么目的 | non_hate | non_hate [END]
变态基佬 | 提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的 | Region | hate [END]
又同又飞舞的 | 该骂 | LGBTQ | hate [END]
河南新疆回族人 | 3头不是人 | Region, Racism | hate [END]
黑人 | 好色 | Racism | hate [SEP] 黑人 | 智商很低 | Racism | hate [END]
吧主 | 饭桶吧主就这战力？ | non_hate | non_hate [END]
通讯录 | 如何薄纱有性别焦虑问题的通讯录？ | LGBTQ | hate [END]
你 | 完全同意 | non_hate | non_hate [END]
这男的父母 | 父母看见我想这老师会被打死 | non_hate | non_hate [END]
这个故事 | 没有被全国黑过的地方，不是太穷，就是太怂 | Region | hate [END]
这个尼 | 太恶心人了！光看到就反胃！ | Sexism | hate [END]
艾滋病携带者 | 自己都不知道 | non_hate | non_hate [END]
白人班级 | 一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术 | Sexism | hate [END]
你 | 疯狗 | non_hate | non_hate [END]
你 | 绝对不是他说的那种要一棒子打死的人 | non_hate | non_hate [END]
小仙女 | 心地善良 | non_hate | non_hate [END]
女性 | 地位能提高的的确确是好的趋势 | non_hate | non_hate [END]
女拳师 | 经费没覆盖？ | Sexism | hate [END]
北京 | 外地逼 | Region | hate [SEP] 上海 | 乡下人 | Region | hate [END]
能在这知乎上搞地域歧视的人 | 现实生活中大概率也成不了啥事 | Region | hate [END]
你们这种人 | 跑得出去 | non_hate | non_hate [END]
黑河南和北方 | 最严重的是西南地区及东北地区 | Region | hate [SEP] 他们 | 没有什么本事 只会在网络上破坏民族团结 搞国家分裂 | Region | hate [END]
女方 | 不扯结婚证啥事儿没有 | Sexism | hate [END]
黑蛆 | 是不是“人” | Racism | hate [END]
None | 居然没有一个拳师冲 | Sexism | hate [END]
他 | 估计在中国他的味道肯定会很受欢迎吧 | Racism | hate [END]
西藏和青海的网友 | 上网那么久就没见过 | non_hate | non_hate [END]
度度 | 拿不出证据的话能不能给我道歉啊 | non_hate | non_hate [END]
这一类人 | 种花家的不幸 | non_hate | non_hate [END]
同性恋 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
None | 轮着黑 | Racism | hate [END]
你这老僵尸 | 要被举报了 | LGBTQ | hate [END]
你 | 差与猩猩终成眷属了！? | Racism | hate [END]
你 | 不会是反串 | non_hate | non_hate [END]
恩施的卷子 | 确定不是黄冈的卷子吗 | non_hate | non_hate [SEP] 湖北 | 一主两副 | non_hate | non_hate [SEP] 宜昌襄阳 | 在中部地级市里排名前三 | non_hate | non_hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上海 | 淹死上海人❤️ | Region | hate [END]
阳光彩虹小黑马 | 摘完棉花吃西瓜 | Racism | hate [END]
中国人 | 低人一等 | Racism | hate [END]
None | 民族自信不够 | non_hate | non_hate [END]
中国人 | 不够多 | non_hate | non_hate [END]
毛妹 | 比老黑那还厉害👍 | Sexism, Racism | hate [SEP] 有些瘾大的女人 | 找猩猩其实就是为了找刺激 | Sexism, Racism | hate [END]
你 | 自己玩游戏玩的不好，还骂别人吗？ | non_hate | non_hate [END]
安徽人 | 不坏 | non_hate | non_hate [END]
大家 | 讨论 | non_hate | non_hate [END]
我 | 个人并不认同 | non_hate | non_hate [END]
你 | 黑猩猩 | Racism | hate [END]
狗比贱货 | 打死 | Sexism | hate [END]
南满 | 不是人 | Region | hate [END]
宁波工程外教 | 老好人 | non_hate | non_hate [END]
这暴躁老哥 | 说的好呀👍️ | non_hate | non_hate [SEP] 抖音上那群老板 | 去霍霍非洲世界小姐们了 | Sexism, Racism | hate [END]
女性 | 生产力以及其占有的生产关系远不及男性 | Sexism | hate [END]
lkd | 随机带走几个 | Sexism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
黑人 | 会不会是非洲国家乌干达的？ | non_hate | non_hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
None | 反自己民族主义 | Racism | hate [END]
黑人 | 作死害百姓 | Racism | hate [END]
国女 | 私信炸了 | Sexism | hate [END]
很多人 | 闻见狐臭会生理反应，心口刺痛 | non_hate | non_hate [END]
你 | 独立的个人 | non_hate | non_hate [END]
黑人 | 心理膈应 | Racism | hate [END]
现代女生 | 接受教育了 | non_hate | non_hate [SEP] 你 | 思想留在三从四德时期吧 | Sexism | hate [END]
女的 | 哪个不是这样啊 | non_hate | non_hate [END]
他 | 对妻子不负责任，像陌生人 | non_hate | non_hate [END]
这个 | 真相 | non_hate | non_hate [END]
None | 反向操作去喜欢中国的地方留学不就行了 | non_hate | non_hate [END]
None | 别留在中国祸害人 | Racism | hate [END]
理工科 | 不统计下理工科的男女生比例？ | non_hate | non_hate [END]
zzzq | 都魔怔了 | non_hate | non_hate [END]
我们蝈腩 | 谦虚点 | non_hate | non_hate [END]
它们 | 穷是他们自己懒惰 | Region | hate [END]
这个女人 | 没死 | non_hate | non_hate [END]
玉米的黄油 | 变成炳蔚通知书 | Others | hate [END]
南方人 | 怎么骂东北人 | Region | hate [END]
河南 | 可能会有偷盗的行为 | Region | hate [SEP] 河南人 | 不要以为河南人都那个样😅 | Region | hate [END]
None | 开除女籍 | Sexism | hate [END]
陕西关中人和陕南人 | 黑陕北人 | Region | hate [END]
某些山驴b | 喜欢拉黑本大爹 | Racism | hate [END]
她们 | 自甘堕落 | non_hate | non_hate [END]
黑蛆 | 清清楚楚计划 | Racism | hate [END]
网络地域黑 | 穷是原罪 | Region, Others | hate [END]
国家 | 绝不会允许这种东西大行其道 | Racism | hate [END]
黄种人 | 不care | non_hate | non_hate [END]
黑人 | 土人的一种 | Racism | hate [END]
几个视频 | 都看过 | non_hate | non_hate [END]
eg | 名头是老外安上去 | Sexism, Racism | hate [END]
这种女的 | 不就是典型的玩的浪不顾家？ | Sexism | hate [END]
黑人女的 | 应该没有几个会娶黑人女的😅 | Sexism, Racism | hate [END]
一群恶心人 | 在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 不好事件就概率性多 | Region | hate [END]
ezg | 喜欢 | Sexism | hate [SEP] ezg | 祈求以后不会娶到和动物玩过的ezg | Sexism | hate [END]
西方 | 为了用身份政治来控制人民，以保证自己的剥削能够继续 | Region, Racism | hate [END]
外国人 | 嫁给外国人就不是中华民族了 | Racism | hate [SEP] 日本人 | 嫁给日本人，那你就是大和民族了 | Region, Racism | hate [END]
她们 | 喜欢拳 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Sexism, Racism | hate [END]
你 | 贵物 | non_hate | non_hate [END]
南昌市 | 文明南昌市🐶 | Region | hate [END]
达雷尔·布鲁克斯 | 被定罪的性犯罪者 | non_hate | non_hate [END]
这人 | 心里极其残忍 | non_hate | non_hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | hate [END]
你 | 请你善良 | non_hate | non_hate [END]
深柜 | 竟在反同身边 | LGBTQ | hate [END]
年度格斗场 | 哈哈年度格斗场了属于是哈哈哈 | non_hate | non_hate [END]
某些txl | 还是要不要自欺欺人了 | LGBTQ | hate [END]
上海人 | 会被其他人举报说这两个人在偷偷骂他 | Region | hate [END]
艾滋病 | 好好治也能活很久的 | non_hate | non_hate [END]
安徽 | 没啥存在感 | Region | hate [END]
这个题主 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | Racism | hate [END]
黑人 | 又发黑人丑照 | Racism | hate [END]
基佬 | 艾滋 | LGBTQ, Others | hate [END]
女拳 | 应该还有些好点的女人 | Sexism | hate [END]
她 | 中资企业还雇佣她吧 | non_hate | non_hate [END]
回族 | 有什么问题？ | non_hate | non_hate [END]
男人 | 脑子不太聪明分不清sao货和良女 | Sexism | hate [END]
米国的事 | 各位就别管了 | Region | hate [END]
內個虛空法師 | 猪精 | non_hate | non_hate [END]
处女膜 | 流血 | non_hate | non_hate [END]
南方 | 比北方穷 | non_hate | non_hate [END]
同 | 撑同 | LGBTQ | hate [END]
偷玉米的 | 都承认是隔壁村的人 | non_hate | non_hate [SEP] 河南人 | 真该算算全中国到底有多少中原口音的人 | Region | hate [END]
基狫 | 打出血了 | LGBTQ | hate [END]
性别比例 | 不调 | non_hate | non_hate [END]
娶黑人 | 也会被骂 | Racism | hate [END]
小红书资深用户 | 刷到的都是美妆，穿搭，腹肌小哥哥，还有一堆妆改容貌焦虑的 | Sexism, Racism | hate [END]
河南人 | 快被黑成贬义词了 | Region | hate [END]
极端nc女人 | 淘汰 | Sexism | hate [END]
地域黑 | 见过太多次了 | non_hate | non_hate [END]
中国女人 | 不信 | Sexism | hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
None | 情商太低，管不住自己 | non_hate | non_hate [END]
评论区 | 谁破防了 | non_hate | non_hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 大开眼界 | Region | hate [SEP] 那黑人 | 用女方结婚照作黄网头像，各种羞辱 | Sexism, Racism | hate [END]
你 | 长啥样 | non_hate | non_hate [END]
你 | 活在这个世界上的唯一理由就是拿这些个例中的个例还有一些我估计你都不知道什么意思的所谓哲学家说过的话告诉我们女性对世界贡献更大 | Sexism | hate [END]
人家 | 带着任务赚流量的🤣 | non_hate | non_hate [END]
同性恋的支持者 | 一群NT | LGBTQ | hate [END]
你 | 读书读糊涂了 | non_hate | non_hate [END]
以前的工作 | 大都是体力活，干净不了 | non_hate | non_hate [END]
姐姐 | 你的圈子有点小啊 | non_hate | non_hate [END]
黑哥 | 常规操作 | Racism | hate [END]
我 | 不懂什么是踩评论 | non_hate | non_hate [END]
她们 | 自低自贱 | Sexism, Racism | hate [SEP] 入汉族的黑串串 | 已经很多了 | Racism | hate [END]
河南人 | 还不错 | non_hate | non_hate [END]
吧里有些老哥 | 看不到所谓主要矛盾啊 | non_hate | non_hate [END]
这些女的 | 喜欢留学生也就罢了 | Sexism, Racism | hate [END]
琪贵人 | 发誓的时候你想掐死她吗？ | Sexism | hate [END]
台资 | 声名远扬 | non_hate | non_hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 怪 | Racism | hate [END]
黑人 | 原始社会 | Racism | hate [END]
猩动保人士 | 爱猩 | Racism | hate [END]
对面 | 搞不好也就15年 | non_hate | non_hate [END]
街留子 | 降两档次 | Sexism | hate [END]
我同学 | 下车二十分钟他改回来了 | non_hate | non_hate [END]
嘿枸 | 低劣程度 | Racism | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
它 | 抽它一耳光！ | non_hate | non_hate [END]
整个重庆 | 反同 | LGBTQ, Region | hate [END]
同性恋 | 弄死他们 | LGBTQ | hate [END]
基佬 | 真不是一般的恶心 | LGBTQ | hate [END]
txl | 去死 | LGBTQ | hate [END]
果子狸 | 前几年很嚣张 | non_hate | non_hate [END]
贴吧的人 | 还是不如知乎的人明白 | non_hate | non_hate [END]
他们 | 内地就先被他们黑得很惨啊 | Region | hate [END]
女拳 | 跟大女权主义分子样虚伪的大男权主义分子 | Sexism | hate [END]
彩礼 | 违法 | non_hate | non_hate [END]
喵神 | 把事情说透了，还能让人挑不出骨头来！👍👍👍 | non_hate | non_hate [END]
她们 | 热爱自由我支持 | non_hate | non_hate [END]
哥布林 | 不出现在人类面前的哥布林才是好哥布林 | Racism | hate [END]
我 | 雀氏自卑 | non_hate | non_hate [END]
杨圣母 | 出来恶心全体男性的时候怎么看不到它站出来 | Sexism | hate [END]
中国 | 配不上你 | Region | hate [END]
你们男的 | 不要碰女的我看到你们就恶心！ | Sexism | hate [END]
来路不明的女的 | 一定要搞清楚来历啊 | Sexism, Others | hate [END]
黑人 | 去读黑人人种研究的书吧 | Racism | hate [END]
easy girl | 这也比国男好得多 | Sexism | hate [END]
答主 | 代表了大部分人的想法 | non_hate | non_hate [END]
畒 | 破防啦 | Sexism | hate [END]
河南人 | 不招河南人 | Region | hate [END]
那个男的 | 一辈子抬不起头 | Sexism | hate [END]
反同小将 | 战淋 | LGBTQ, Others | hate [END]
b乎 | 人均985 | Sexism | hate [END]
东北人 | 真的很讨厌 | Region | hate [END]
人形畜狌 | 只有本能 | Racism | hate [END]
四川各大高校 | 根本不是 | non_hate | non_hate [END]
贴吧系统 | 多发几次就行了 | non_hate | non_hate [END]
中国女人 | 已经不是那样的中国女人了 | non_hate | non_hate [END]
唐朝前期的公主 | 外嫁和后面的五胡乱华有很大关系哟 | non_hate | non_hate [END]
魔方基因 | 一听就不靠谱😆 | Racism | hate [END]
通讯录 | 出瑰的几乎为零 | Sexism | hate [END]
这个 | 友军 | non_hate | non_hate [END]
宁 | 比得上人家吗 | Region | hate [END]
你 | 你的意见有个屁用 | non_hate | non_hate [END]
这几个博主 | 到冯丽微博下留言加辱骂河南人 | Region | hate [END]
这女的 | 精神类疾病 | non_hate | non_hate [END]
gay | 臭gay | LGBTQ | hate [END]
重男轻女 | 存在 | non_hate | non_hate [END]
鼻涕虫交配 | 恶心 | Racism | hate [END]
easy girl | 崇媚洋外中国好像很普遍 | Sexism, Racism | hate [END]
猩猩 | 兽性 | Racism | hate [END]
你这种烂鲍鱼 | 普信女⁉ | Sexism | hate [END]
有些欧洲小国 | 对中国人印象不错 | non_hate | non_hate [END]
基佬 | 炼铜 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non_hate | non_hate [END]
这种垃圾 | 身染艾资 | Others | hate [END]
这样的男女 | 跟黑人出国，不乱生垃圾丢在国内污染环境 | Sexism, Racism | hate [END]
楼上 | 两广被黑了 | Region | hate [SEP] 河南 | 大家只是玩梗~玩梗～ | Region | hate [END]
普信男 | 带出普信女 | Sexism | hate [END]
同性恋 | 基因“本能”厌恶 | LGBTQ | hate [END]
主页 | 和不同的白楠yy | Sexism, Racism | hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 据说好像还原谅了她 | non_hate | non_hate [END]
微博 | 能是什么好地方 | non_hate | non_hate [END]
贵物男 | 拳帖被删了 | Sexism | hate [END]
舔狗约炮 | 都必须体验分娩 | Sexism | hate [END]
这只狗狗 | YD长在了猩猩身上 | Racism | hate [END]
拳师 | 高级妆 | Sexism | hate [END]
浙江 | 气候而言。并不宜居 | non_hate | non_hate [END]
东北河南 | 一家亲 | non_hate | non_hate [END]
三非黑人 | 该驱逐驱逐 | Racism | hate [END]
这种 | 为牢房准备的犯人 | non_hate | non_hate [END]
txl | 骂txl没码 | LGBTQ | hate [END]
你 | 口味有点重 | non_hate | non_hate [END]
你 | 还我们滦河水！ | Region | hate [END]
我 | 咋没看到反串差评 | non_hate | non_hate [END]
基佬 | 它们在现实生活中活得太憋屈了 | LGBTQ | hate [END]
第二个 | 母吠删我评 | Sexism | hate [END]
同性恋 | 饥不择食 | LGBTQ | hate [END]
好看的靴子 | 都是为女人设计的 | Sexism | hate [SEP] 男靴 | 虽然这些年有所复兴，淘宝款式多样，但还是远远不如女靴，穿的人也太少！ | Sexism | hate [END]
None | 这么好的肤色竟然在美国做乞丐 | Racism | hate [END]
东北 | 被黑的最惨的 | Region | hate [SEP] 东北人 | 更受南方妹子欢迎 | Region | hate [SEP] 南方人 | 这么有钱为哈还不受妹子待见呢 | Region | hate [END]
男同 | 恶心 | LGBTQ | hate [END]
这玩意 | 谁把这玩意从笼子里面放出来的 | non_hate | non_hate [END]
江西和苏北八竿子打不着的地方 | 互相完全不了解 | non_hate | non_hate [END]
好人 | 被枪指着 | non_hate | non_hate [SEP] 骗人 | 不管被骗的有罪✌️ | non_hate | non_hate [END]
[END]
800的小姐 | 能提非常高的情绪价值 | Sexism | hate [END]
硅南 | 能不能死一死？ | Sexism | hate [END]
None | 不想别人歧视，就先停止对别人的歧视 | non_hate | non_hate [END]
嘿枸 | 涤清圣土桖洗嘿枸 | Racism | hate [END]
江浙 | 地域黑最多 | Region | hate [SEP] 江浙 | 自己在江浙一带也时常因为素质低下而被歧视 | Region | hate [END]
广东人 | 以为攻击广西自己就不东南亚了？ | Region | hate [END]
打拳的 | 一定要反击 | Sexism | hate [SEP] 理中派 | 想两头讨好 | Others | hate [END]
安徽 | 也被黑很惨啊 | Region | hate [END]
黑人 | 不要跟外国人上床、恋爱甚至结婚 | Racism | hate [END]
女儿 | 不要嫁 | Sexism | hate [END]
吴越（包括上海本地） | 占大概70-80% | non_hate | non_hate [SEP] 江淮 | 15%左右 | non_hate | non_hate [END]
日本女人 | 媚白 | Sexism, Racism | hate [END]
黑人 | 事太多了 | Racism | hate [END]
我们同性恋 | 太正确了 | non_hate | non_hate [END]
黑家伙 | 找谁不行，偏要找个黑家伙 | Racism | hate [END]
国内国外 | 都有反对的吧 | non_hate | non_hate [END]
非洲 | 很蓝的啦 | Region | hate [END]
外籍男子 | 醉酒闹事、公然袭警 | non_hate | non_hate [END]
你 | 这波种族歧视我服 | Racism | hate [END]
txl群体 | 一个个都能自己给txl群体下定义呢 | LGBTQ | hate [SEP] txl群体 | 一个个都是大哲学家 | LGBTQ | hate [END]
犹太教 | 只有资本家才能入犹太教当犹太人 | Racism | hate [END]
腐癌 | 那不是腐癌？ | Others | hate [END]
我 | 岭南山区的 | non_hate | non_hate [END]
国男 | 怎么让自己不接盘 | Sexism | hate [END]
你 | 在现实见到黑人也这么说？ | non_hate | non_hate [END]
男孩子 | 惨唉😔 | non_hate | non_hate [END]
答主 | 气得我想笑 | non_hate | non_hate [SEP] 帝国主义 | 亡我中华之心不死 | non_hate | non_hate [END]
喜欢搞地域黑的三大区域 | 长三角三省市，珠三角，西部某都 | Region | hate [END]
安徽人 | 被黑的原因应该跟河南差不多的😅 | Region | hate [END]
有些直男 | 恶心 | LGBTQ, Sexism | hate [END]
女权 | 杀光女权，一个不留！ | Sexism | hate [END]
下面那个回复 | 太有才了 | non_hate | non_hate [END]
女人 | 我从来不看女人的朋友圈 | Sexism | hate [END]
同性恋 | 不违法不破坏公德，没有人需要为了别人而收敛自己的本性 | non_hate | non_hate [END]
你 | 跨物种恋爱 | non_hate | non_hate [END]
嘿 | 跪舔嘿看到后很不开心 | Racism | hate [END]
你 | 可以和男人doi的 | Sexism | hate [END]
基佬 | 恶心 | LGBTQ | hate [SEP] 蕾丝边 | 恶心 | LGBTQ | hate [END]
河南话 | 说河南话就是河南人？ | non_hate | non_hate [END]
幕刃 | 要这种幕刃给我添堵吗？？ | Sexism | hate [END]
我 | 既可爱又帅气 | non_hate | non_hate [END]
春哥 | 兼具了男人的阳刚和女人阴柔 | non_hate | non_hate [END]
东北人 | 嫁到唐山 感觉一段时间这个地域歧视都少不了 | Region | hate [END]
对同性恋抱有偏见的人 | 通过侮辱诅咒同性恋 | LGBTQ | hate [END]
None | 逆民主义女拳横行 | Sexism | hate [END]
None | 为外国黑人生后代 | Racism | hate [END]
河南 | 素质差 | Region | hate [END]
卡肺囊虫肺炎和隐脑 | 大几率会死人 | Others | hate [END]
他 | 选择了转移话题 | non_hate | non_hate [END]
女拳 | 被骂“辱女”了 | Sexism | hate [END]
底层男人 | 妻子是处 | Sexism | hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | Racism | hate [END]
wb | 纯杀软 | Sexism | hate [END]
江苏 | 小市民思想比较重 | Region | hate [END]
歪国敌特和网特分裂势力 | 彻底与那些歪门邪道者绝缘 | Racism | hate [END]
这个华裔警察 | 什么也没做 | non_hate | non_hate [END]
上海 | 黑北京的哪有黑上海的多 | Region | hate [END]
媒体 | 从大到小，好事就算东北人做的只提发生地点（南方），坏事就算南方人在东北做的也只提东北 | Region | hate [END]
十八线小城 | 几个外国人？😓 | non_hate | non_hate [END]
河南人 | 最不喜欢地域黑别人 | non_hate | non_hate [END]
同性恋 | 可耻的！是错误的！是会破坏世界的！ | LGBTQ | hate [END]
西安人 | 死绝🙂 | Region | hate [END]
辽宁 | 真没资格鄙视中部 | Region | hate [END]
这女的 | 自己弄撒别人收拾烂摊子 | Sexism | hate [END]
同性恋 | 用大便来形容 | LGBTQ | hate [END]
你 | 很狭隘的 | non_hate | non_hate [END]
中国男人 | 不配我们中国女人🙂 | Sexism | hate [END]
慕刃 | 把环境都搞臭了 | Sexism | hate [END]
占我们便宜的 | 都得死😄 | Others | hate [END]
例子 | 生动有趣 简洁明了 | non_hate | non_hate [END]
中国男女 | 对立只存在网络上 | non_hate | non_hate [END]
tg | 有攒劲的节目 | non_hate | non_hate [END]
广东人 | 不觉得广东人长得好看 | non_hate | non_hate [END]
你 | 211的书怕是白念了？ | non_hate | non_hate [END]
她们 | 普通却那么自信 | Sexism | hate [END]
河北 | 最没有存在感 | Region | hate [END]
你 | 写的这是玄幻小说吧 | non_hate | non_hate [END]
黑人 | 一个都混不下去 | Racism | hate [END]
贵州 | 不是我们穷就是说素质差😅 | Region | hate [END]
恐同 | 深柜实锤 | LGBTQ | hate [END]
基佬 | 一堆屎 | LGBTQ | hate [END]
