condition,iqr,max,mean,median,metric,min,n,p05,p95,q25,q75,status,stratum,task
CLDnew,4.7968202069444555e-06,0.9999999812602304,0.08394674226197543,5.747795082939497e-11,answer_sum/inclusion_mass/others,7.487572254119893e-20,328,2.885872530796809e-17,0.9755903585167749,1.143270236345318e-13,4.796820321271479e-06,defined,gold_size_1,group
CLDnew,0.3830777026753026,0.9999999964762488,0.25104105405467014,1.8285143701527658e-07,answer_sum/inclusion_mass/others,2.8217933829479815e-17,63,3.95399448496122e-14,0.9999994891346629,6.115307012053428e-10,0.3830777032868333,defined,gold_size_2plus,group
CLnewNoCat,5.4128156170121826e-08,0.9945784421194181,0.0036836190066611672,1.1520063269611837e-10,answer_sum/inclusion_mass/others,1.1746621102007914e-20,643,5.419696608386425e-16,0.0006406512706159771,1.2821450624434962e-12,5.412943831518427e-08,defined,all,group
CLnewNoCat,9.60325791412983e-06,0.9945784421194181,0.008540493774309665,3.2154316794885595e-08,answer_sum/inclusion_mass/others,1.2232603896542108e-18,223,1.4112199328133526e-14,0.006723122729128982,8.614180272029817e-11,9.60334405593255e-06,defined,Lq_hit,group
CLnewNoCat,1.4644724044604115e-09,0.43761620248846944,0.0011048497847906563,1.61871202330415e-11,answer_sum/inclusion_mass/others,1.1746621102007914e-20,420,7.81181634733184e-17,1.9466431172196816e-05,4.83034734563265e-13,1.4649554391949748e-09,defined,Lq_no_hit,group
CLnewNoCat,1.4027326182083992e-09,0.9945784421194181,0.004097496157457265,7.373389119624667e-12,answer_sum/inclusion_mass/others,1.1746621102007914e-20,252,1.4743221078404511e-16,3.6284776720706416e-05,2.050994386035854e-13,1.4029377176470027e-09,defined,gold_size_0,group
CLnewNoCat,9.620184398468037e-08,0.3179869447010277,0.0019116029146472892,2.0240100452166888e-10,answer_sum/inclusion_mass/others,1.678460054309839e-20,328,6.491367670670162e-16,0.0003648676438658527,3.0881922227653264e-12,9.620493217690313e-08,defined,gold_size_1,group
CLnewNoCat,3.604501480363882e-05,0.43761620248846944,0.011253844977771245,1.95536227114123e-06,answer_sum/inclusion_mass/others,7.235335326216715e-16,63,1.0236852031204888e-11,0.008251355582565255,8.084264063969397e-09,3.6053099067702794e-05,defined,gold_size_2plus,group
CLDnewNoCat,2.973009013467958e-07,0.9999998683308376,0.031363065600651635,2.8109401928569545e-10,answer_sum/inclusion_mass/others,3.9068706202859064e-20,643,6.310214480703134e-17,0.017606914931615925,4.783498629904505e-13,2.973013796966588e-07,defined,all,group
CLDnewNoCat,6.52175984108404e-07,0.9999808099334455,0.04514242707938846,3.696719785196406e-10,answer_sum/inclusion_mass/others,3.9068706202859064e-20,223,1.51004310091226e-16,0.3997484221603554,6.991076477163027e-13,6.521766832160517e-07,defined,Lq_hit,group
CLDnewNoCat,2.004510703159658e-07,0.9999998683308376,0.0240468808155128,2.494776254345418e-10,answer_sum/inclusion_mass/others,4.614589682207272e-20,420,4.432866468618694e-17,0.0070230667733731135,3.9613958854244814e-13,2.0045146645555435e-07,defined,Lq_no_hit,group
CLDnewNoCat,2.5986811473842675e-07,0.9999808099334455,0.027598290818082512,4.3008110352849645e-10,answer_sum/inclusion_mass/others,9.038259566773291e-20,252,6.785466761875118e-17,0.013188974542938563,2.357124061332328e-12,2.598704718624881e-07,defined,gold_size_0,group
CLDnewNoCat,1.0248907845222545e-07,0.9999998683308376,0.01657138264944824,8.455792077997316e-11,answer_sum/inclusion_mass/others,3.9068706202859064e-20,328,4.256483334582389e-17,0.0011618844157237735,4.291140896212297e-14,1.0248912136363442e-07,defined,gold_size_1,group
CLDnewNoCat,0.0009790072249823685,0.999924162155403,0.12343283152449501,3.597113325158956e-08,answer_sum/inclusion_mass/others,3.947986711446124e-17,63,2.774170384588838e-14,0.9990281630029275,1.0187705918496432e-10,0.0009790073268594276,defined,gold_size_2plus,group
C0,0.9999041649443773,0.9999999999998075,0.49496068427126133,0.43498502705206077,answer_sum/cardinality/natural/p0,8.939796600314624e-09,643,3.921076414647682e-07,0.999999999974378,9.517249202719342e-05,0.9999993374364045,defined,all,group
C0,0.9991676645467441,0.9999999999960318,0.3775765518598115,0.009967801114361068,answer_sum/cardinality/natural/p0,3.351063698491203e-08,223,4.322518984890568e-07,0.9999999968726937,3.960664301253203e-05,0.9992072711897566,defined,Lq_hit,group
C0,0.9997875710781386,0.9999999999998075,0.5572860688611501,0.92763569545636,answer_sum/cardinality/natural/p0,8.939796600314624e-09,420,3.6648423093909635e-07,0.9999999999888257,0.00021240627729339912,0.999999977355432,defined,Lq_no_hit,group
C0,0.38916992581196086,0.9999999999998075,0.7623704830537026,0.9999989548380723,answer_sum/cardinality/natural/p0,1.6458182848712015e-07,252,1.6081247883652302e-05,0.9999999999952245,0.6108300738561324,0.9999999996680933,defined,gold_size_0,group
C0,0.9989605919043799,0.9999999999960318,0.3691927283938318,0.003925359036928642,answer_sum/cardinality/natural/p0,8.939796600314624e-09,328,2.4222043977040475e-07,0.9999999928568778,1.10816198811806e-05,0.9989716735242611,defined,gold_size_1,group
C0,0.002543186606126735,0.9997363734275386,0.08011338640811282,9.53349740189332e-05,answer_sum/cardinality/natural/p0,5.4190114895342605e-08,63,3.7843195287325515e-07,0.5971965694944918,6.7822042349149e-06,0.00254996881036165,defined,gold_size_2plus,group
CLnew,0.9998360957853711,0.9999999999999545,0.502554206292727,0.5378246982187502,answer_sum/cardinality/natural/p0,1.3573060341916233e-07,643,1.3362533867492726e-06,0.9999999999840298,0.0001637731700460077,0.9999998689554171,defined,all,group
CLnew,0.11442649372832019,0.9999999995208697,0.1812880136796282,0.00018120778202525693,answer_sum/cardinality/natural/p0,1.4252474277232316e-07,223,5.656919629243887e-07,0.9984451308599582,6.3846722894060886e-06,0.11443287840060959,defined,Lq_hit,group
CLnew,0.9697432720834921,0.9999999999999545,0.6731312561801579,0.9998064197681198,answer_sum/cardinality/natural/p0,1.3573060341916233e-07,420,1.048651939226413e-05,0.9999999999915766,0.030256727358336896,0.9999999994418289,defined,Lq_no_hit,group
CLnew,0.06424150384804217,0.9999999999999545,0.8100389199600382,0.9999999117435727,answer_sum/cardinality/natural/p0,3.118618383247696e-07,252,0.0004299004277741702,0.9999999999952118,0.9357584960629144,0.9999999999109566,defined,gold_size_0,group
CLnew,0.7987285716198107,0.9999999999913289,0.30250032028809126,0.0010227683540161192,answer_sum/cardinality/natural/p0,1.3573060341916233e-07,328,6.519528878454799e-07,0.9999999988092555,1.602163014216826e-05,0.7987445932499528,defined,gold_size_1,group
CLnew,0.7712953846681978,0.9999999461550019,0.3141657422507922,0.022384648925458446,answer_sum/cardinality/natural/p0,5.119879438654789e-07,63,1.657060368588278e-06,0.9988207859790065,3.3661046820173445e-05,0.7713290457150179,defined,gold_size_2plus,group
CD,0.052156720032774245,0.999999999994732,0.22842070749836493,1.6095859616832158e-08,answer_sum/cardinality/natural/p0,5.0079486491357416e-12,643,2.10914603623996e-11,0.9999999919940383,3.294963741314666e-10,0.05215672036227062,defined,all,group
CD,9.259193883902602e-08,0.9999999995012219,0.0670206823186752,1.1723258303941975e-09,answer_sum/cardinality/natural/p0,5.714711101995607e-12,223,1.551711752137723e-11,0.9966611604696558,1.4724333803311204e-10,9.273918217705914e-08,defined,Lq_hit,group
CD,0.9983474419026359,0.999999999994732,0.3141164351532954,1.3764454630037391e-06,answer_sum/cardinality/natural/p0,5.0079486491357416e-12,420,2.953940508275448e-11,0.9999999986332871,6.104430478637579e-10,0.9983474425130789,defined,Lq_no_hit,group
CD,0.9999987177201071,0.999999999994732,0.5189869756244703,0.7465781851612018,answer_sum/cardinality/natural/p0,1.0403156778072013e-11,252,2.2332685352604862e-10,0.9999999996549684,3.984952923265687e-07,0.9999991162153994,defined,gold_size_0,group
CD,1.179171886529108e-07,0.9999967871486333,0.04899672923505392,9.345990507865925e-10,answer_sum/cardinality/natural/p0,5.0079486491357416e-12,328,1.3768161254343323e-11,0.39569052240644575,1.1830974924044626e-10,1.1803549840215125e-07,defined,gold_size_1,group
CD,7.63475086061008e-09,0.01886233479030718,0.0002995218251505629,8.923380761099459e-10,answer_sum/cardinality/natural/p0,1.7811790451858577e-11,63,3.567768357385827e-11,4.6994899572758955e-07,1.848075270959308e-10,7.81955838770601e-09,defined,gold_size_2plus,group
CLDnew,0.04338090771657012,0.999999999990894,0.22912375170876026,2.7754443603586526e-07,answer_sum/cardinality/natural/p0,1.1884744191141573e-11,643,2.8287776333429697e-10,0.999999985943881,3.5268436748480537e-09,0.0433809112434138,defined,all,group
CLDnew,2.229937715928424e-07,0.9999524200972473,0.01111257224588575,7.4377632770896745e-09,answer_sum/cardinality/natural/p0,3.0310056825788115e-11,223,1.7197511977944703e-10,0.0005355307442332184,1.0012748326918947e-09,2.239950464255343e-07,defined,Lq_hit,group
CLDnew,0.9990162585249973,0.999999999990894,0.34487730651881027,0.00012315958327850058,answer_sum/cardinality/natural/p0,1.1884744191141573e-11,420,4.5761352203469665e-10,0.9999999969083965,1.8713795454829676e-08,0.9990162772387927,defined,Lq_no_hit,group
CLDnew,0.9999766851332101,0.999999999990894,0.5253853399444911,0.8003434296864056,answer_sum/cardinality/natural/p0,1.3454939475260903e-10,252,2.574600180015776e-09,0.999999999050393,1.8717893656877015e-05,0.9999954030268671,defined,gold_size_0,group
CLDnew,1.4653404610904291e-06,0.9999975212199208,0.04546876389947784,1.111757305415005e-08,answer_sum/cardinality/natural/p0,1.1884744191141573e-11,328,1.723660535077318e-10,0.017389391704409386,1.049263148044688e-09,1.466389724238474e-06,defined,gold_size_1,group
CLDnew,2.5287757572434056e-07,0.012320039930033555,0.00024939878876749637,5.2069136998204204e-09,answer_sum/cardinality/natural/p0,1.6822765359177158e-10,63,3.873049406443825e-10,8.708487413791085e-05,2.1460468975146232e-09,2.550236226218552e-07,defined,gold_size_2plus,group
CLnewNoCat,0.9977640563547309,0.9999999999999729,0.542796919270363,0.809658376265287,answer_sum/cardinality/natural/p0,2.2484660352859572e-07,643,5.30056490289928e-06,0.9999999999959347,0.0022359033417375085,0.9999999596964684,defined,all,group
CLnewNoCat,0.1187314423548141,0.9999999992235518,0.18167361790027567,0.0032344648719026246,answer_sum/cardinality/natural/p0,6.332109133625457e-07,223,2.426835882563234e-06,0.9988677885211796,8.181715593210437e-05,0.1188132595107462,defined,Lq_hit,group
CLnewNoCat,0.6652029212918598,0.9999999999999729,0.734536195950195,0.9999618662449345,answer_sum/cardinality/natural/p0,2.2484660352859572e-07,420,6.948104720699945e-05,0.9999999999983481,0.33479707829459415,0.9999999995864539,defined,Lq_no_hit,group
CLnewNoCat,0.007915141120856228,0.9999999999999729,0.846263482848165,0.9999999727448123,answer_sum/cardinality/natural/p0,1.6671746631973644e-06,252,0.001234811485283111,0.9999999999997184,0.9920848588135551,0.9999999999344114,defined,gold_size_0,group
CLnewNoCat,0.9815186377415636,0.9999999999807674,0.34956261146575296,0.017982368225694496,answer_sum/cardinality/natural/p0,2.2484660352859572e-07,328,3.0130476956748728e-06,0.9999999992843145,0.00028431375900355436,0.9818029515005671,defined,gold_size_1,group
CLnewNoCat,0.8056447348953745,0.9999290573295243,0.33497595003712505,0.01387530120728545,answer_sum/cardinality/natural/p0,1.135811725311156e-06,63,3.8463867841201606e-06,0.9986270010018952,0.0003127450740968786,0.8059574799694713,defined,gold_size_2plus,group
CLDnewNoCat,0.407331734361655,0.9999999999993985,0.25115249262563794,5.906909143221879e-07,answer_sum/cardinality/natural/p0,2.1976150683171698e-11,643,2.7457464742470665e-10,0.9999999928768601,4.148675576553515e-09,0.40733173851033055,defined,all,group
CLDnewNoCat,4.1466822470760715e-07,0.9999505733465981,0.025730677179040068,9.449621807227977e-09,answer_sum/cardinality/natural/p0,3.693589641678193e-11,223,1.5872745865142947e-10,0.0023606379726111024,1.1380467122214273e-09,4.158062714198286e-07,defined,Lq_hit,group
CLDnewNoCat,0.9999206710908092,0.9999999999993985,0.37084074225561736,0.000699696416220634,answer_sum/cardinality/natural/p0,2.1976150683171698e-11,420,4.077105717710652e-10,0.9999999986537949,2.847013130257196e-08,0.9999206995609404,defined,Lq_no_hit,group
CLDnewNoCat,0.9997773835297767,0.9999999999993985,0.5721283632990883,0.9815199439317963,answer_sum/cardinality/natural/p0,4.9294450357215216e-11,252,3.0241928946995906e-09,0.9999999998155474,0.00022222703648050405,0.9999996105662572,defined,gold_size_0,group
CLDnewNoCat,3.857497318670113e-06,0.999999124724416,0.05272409964625655,1.6345307935819255e-08,answer_sum/cardinality/natural/p0,2.1976150683171698e-11,328,1.7965326257407056e-10,0.28473147272296845,1.2427943625244555e-09,3.858740113032637e-06,defined,gold_size_1,group
CLDnewNoCat,4.7386719501895605e-07,0.018032827161780538,0.00033651623718725825,2.4881353160487868e-08,answer_sum/cardinality/natural/p0,1.696913254242828e-10,63,3.1565094404944303e-10,0.00017175362955645235,1.9672805820174e-09,4.7583447560097345e-07,defined,gold_size_2plus,group
C0,0.9998118183688348,0.9999999910601994,0.49737391084279814,0.5045193394588885,answer_sum/cardinality/natural/p1,1.9254582112346795e-13,643,2.5621916781683332e-11,0.9999992314457936,6.62563593553232e-07,0.9998124809324284,defined,all,group
C0,0.9991065141132359,0.999999966489314,0.6133838723944964,0.9729411665572444,answer_sum/cardinality/natural/p1,3.967590071181552e-12,223,3.1272834911941754e-09,0.9999992212917213,0.0007926663383321915,0.9998991804515681,defined,Lq_hit,group
C0,0.9995241837230359,0.9999999910601994,0.43577814554272976,0.0655077095594869,answer_sum/cardinality/natural/p1,1.9254582112346795e-13,420,1.1174257004161619e-11,0.9999992190071441,2.2644517032627673e-08,0.9995242063675529,defined,Lq_no_hit,group
C0,0.3891699232258344,0.9999998352931649,0.23755190723252573,1.0451619180698784e-06,answer_sum/cardinality/natural/p1,1.9254582112346795e-13,252,4.775387299220545e-12,0.9999393112329796,3.3190422386564356e-10,0.3891699235577386,defined,gold_size_0,group
C0,0.998957010849491,0.9999999910601994,0.624472396902603,0.9918995077164457,answer_sum/cardinality/natural/p1,3.967590071181552e-12,328,7.143122016697532e-09,0.9999996998637982,0.001028325798347037,0.999985336647838,defined,gold_size_1,group
C0,0.03836224014710843,0.9999996492167424,0.8749428232582368,0.999322090368747,answer_sum/cardinality/natural/p1,0.0002636263628411252,63,0.18345645311182449,0.999999225967902,0.9616190422125628,0.9999812823596712,defined,gold_size_2plus,group
CLnew,0.9995198309721004,0.9999998574736862,0.4496866819315468,0.15224924592534447,answer_sum/cardinality/natural/p1,4.5000638489305986e-14,643,1.5586970454774033e-11,0.9999983677101698,6.214673212801275e-08,0.9995198931188325,defined,all,group
CLnew,0.7815622474880126,0.9999998574736862,0.7039165313599846,0.9993124232653942,answer_sum/cardinality/natural/p1,1.1003841678460813e-11,223,2.4193327526286503e-08,0.9999993362463541,0.2184288750421701,0.9999911225301827,defined,Lq_hit,group
CLnew,0.9203988823523669,0.9999996988696419,0.3147027380683523,7.939124566161818e-05,answer_sum/cardinality/natural/p1,4.5000638489305986e-14,420,8.423279069129764e-12,0.9999881011493781,5.58167349433139e-10,0.9203988829105343,defined,Lq_no_hit,group
CLnew,0.05245963810267349,0.9999996881351048,0.18513450219414918,8.825642734567624e-08,answer_sum/cardinality/natural/p1,4.5000638489305986e-14,252,4.7879865369319984e-12,0.9995700995454795,8.9043510452816e-11,0.052459638191717,defined,gold_size_0,group
CLnew,0.9681150354844803,0.9999998574736862,0.6510521911227628,0.9963683391921124,answer_sum/cardinality/natural/p1,8.670905416776113e-12,328,1.1306022145718718e-09,0.9999991771466464,0.03186121675049025,0.9999762522349706,defined,gold_size_1,group
CLnew,0.9997906751747402,0.999998831998143,0.45951624191734536,0.26013989036328017,answer_sum/cardinality/natural/p1,1.1003841678460813e-11,63,4.767498202591342e-09,0.999997050972917,5.843422724377225e-05,0.9998491094019839,defined,gold_size_2plus,group
CD,0.995053948150345,0.9999999999946059,0.6711886094709179,0.9998042391540608,answer_sum/cardinality/natural/p1,1.765986675165587e-12,643,5.086579553146116e-09,0.9999999999280547,0.004946013884397936,0.999999962034743,defined,all,group
CD,0.30290759798162625,0.9999999999908853,0.7633317844500105,0.9999950113657853,answer_sum/cardinality/natural/p1,4.98778081235337e-10,223,3.331264220887668e-06,0.9999999999399044,0.6970923908872864,0.9999999888689126,defined,Lq_hit,group
CD,0.9997527212801183,0.9999999999946059,0.6222649713272568,0.998884224662187,answer_sum/cardinality/natural/p1,1.765986675165587e-12,420,1.1726167780369945e-09,0.9999999999001062,0.00024717269175170706,0.99999989397187,defined,Lq_no_hit,group
CD,0.9999867101411345,0.9999999999824523,0.46023838852005405,0.04837430954472306,answer_sum/cardinality/natural/p1,1.765986675165587e-12,252,3.0657381226429073e-10,0.9999999985554401,6.086156146889197e-07,0.9999873187567492,defined,gold_size_0,group
CD,0.0003075041458572292,0.9999999999946059,0.8811702923958864,0.9999994305886067,answer_sum/cardinality/natural/p1,2.069293312522236e-07,328,0.002203481516359946,0.9999999999665864,0.9996924943559217,0.9999999985017789,defined,gold_size_1,group
CD,0.9919436226345046,0.9999999998105404,0.4217515250300923,0.04230960550753683,answer_sum/cardinality/natural/p1,8.876622992876052e-09,63,8.378301966192617e-08,0.999999719525088,3.145339585501428e-05,0.9919750760303596,defined,gold_size_2plus,group
CLDnew,0.9982704896277341,0.999999999987935,0.6470905148181437,0.9991057095036948,answer_sum/cardinality/natural/p1,1.0941018694316233e-12,643,7.0153341186581085e-09,0.9999999995471563,0.0017293953797710513,0.9999998850075051,defined,all,group
CLDnew,0.8020748839994327,0.9999999999689122,0.7350329425648378,0.9999975486257168,answer_sum/cardinality/natural/p1,1.0941018694316233e-12,223,1.125832290717048e-07,0.9999999997384135,0.1979251117409854,0.9999999957404181,defined,Lq_hit,group
CLDnew,0.9997182089655579,0.999999999987935,0.6003972734193037,0.9937857969547454,answer_sum/cardinality/natural/p1,8.915603197833838e-12,420,3.0628368685095914e-09,0.999999998813032,0.00028055448841846477,0.9999987634539763,defined,Lq_no_hit,group
CLDnew,0.9997961040468507,0.9999999998643856,0.4528851963479287,0.06185921097712996,answer_sum/cardinality/natural/p1,8.915603197833838e-12,252,9.49600118780363e-10,0.9999999915524054,4.256772271408997e-06,0.9998003608191222,defined,gold_size_0,group
CLDnew,0.0017934231120779742,0.999999999987935,0.8577700170211137,0.9999992081256233,answer_sum/cardinality/natural/p1,6.854487765525119e-08,328,0.00021630167766703687,0.9999999997385473,0.9982065724013649,0.9999999955134429,defined,gold_size_1,group
CLDnew,0.9244653154338967,0.9999999994966728,0.3270407296105245,0.0006677701862067885,answer_sum/cardinality/natural/p1,1.0941018694316233e-12,63,1.7900955878260008e-10,0.999999936669048,4.425455784228398e-07,0.9244657579794751,defined,gold_size_2plus,group
CLnewNoCat,0.9936046252361576,0.9999997743640324,0.4242726512104683,0.061714909958575453,answer_sum/cardinality/natural/p1,2.6799326307963047e-14,643,4.065251091612415e-12,0.9999892668397492,4.030353173906762e-08,0.9936046655396893,defined,all,group
CLnewNoCat,0.5097741512066919,0.9999988641645954,0.7386478277557782,0.988166490480236,answer_sum/cardinality/natural/p1,7.7644834351648e-10,223,0.0001052742116594646,0.9999966231300439,0.4900634365289044,0.9998375877355963,defined,Lq_hit,group
CLnewNoCat,0.6480209534389794,0.9999997743640324,0.25735440271141097,3.813375428255363e-05,answer_sum/cardinality/natural/p1,2.6799326307963047e-14,420,1.6510873468041476e-12,0.9999171638719642,4.1348274681689666e-10,0.6480209538524621,defined,Lq_no_hit,group
CLnewNoCat,0.007914796665287278,0.999998327035401,0.15272137323608126,2.725518758254487e-08,answer_sum/cardinality/natural/p1,2.6799326307963047e-14,252,2.8154376766003514e-13,0.9986154633475764,6.519050593534921e-11,0.007914796730477784,defined,gold_size_0,group
CLnewNoCat,0.9947169113385791,0.9999997743640324,0.6120596595623441,0.9466051855558935,answer_sum/cardinality/natural/p1,1.9232535986737178e-11,328,7.156087368840153e-10,0.9999960081207961,0.004830894712711399,0.9995478060512905,defined,gold_size_1,group
CLnewNoCat,0.9866037103785081,0.9999988641645954,0.532793021212536,0.6076909709248837,answer_sum/cardinality/natural/p1,8.169463153322646e-08,63,1.2835847815930292e-05,0.9999719079734468,0.010666712363357653,0.9972704227418658,defined,gold_size_2plus,group
CLDnewNoCat,0.9991008767196856,0.9999999999777909,0.6545564550833745,0.9993044830673233,answer_sum/cardinality/natural/p1,6.015942886840399e-13,643,4.8933116376995104e-09,0.9999999995581289,0.0008989515372054592,0.999999828256891,defined,all,group
CLDnewNoCat,0.052867142990720706,0.999999999942067,0.7867052744554001,0.9999972567055385,answer_sum/cardinality/natural/p1,2.5792771576471214e-12,223,8.143424155006902e-06,0.9999999997444459,0.9471328476827119,0.9999999906734326,defined,Lq_hit,group
CLDnewNoCat,0.9999391810779277,0.9999999999777909,0.5843917247977515,0.9779507667116182,answer_sum/cardinality/natural/p1,6.015942886840399e-13,420,1.3462043984935431e-09,0.9999999990090129,5.7702031553077585e-05,0.9999968831094808,defined,Lq_no_hit,group
CLDnewNoCat,0.9990717370040048,0.9999999999499989,0.4050240863591035,0.007818694253319545,answer_sum/cardinality/natural/p1,6.015942886840399e-13,252,1.8445262017111565e-10,0.9999999677207794,3.894334869903397e-07,0.9990721264374918,defined,gold_size_0,group
CLDnewNoCat,0.0006975995361687692,0.9999999999777909,0.8936587813466785,0.9999986954992044,answer_sum/cardinality/natural/p1,7.175998251598259e-07,328,0.0004827261391987661,0.9999999997357341,0.9993023926096354,0.9999999921458042,defined,gold_size_1,group
CLDnewNoCat,0.9949658100603892,0.9999999995641249,0.40783572340325663,0.020753646707812056,answer_sum/cardinality/natural/p1,2.5792771576471214e-12,63,4.357762843140403e-07,0.9999999602961986,4.2790867589397895e-05,0.9950086009279786,defined,gold_size_2plus,group
C0,1.4912516349374727e-08,0.8162600053551998,0.007653124731595976,1.1421214468494958e-11,answer_sum/cardinality/natural/p2,2.1318963112814104e-26,643,5.48457405306918e-20,0.000531029980987396,1.3381794685870007e-15,1.4912517687554197e-08,defined,all,group
C0,7.548670705633863e-07,0.6352815938347757,0.009006787217222175,1.0317575197919354e-09,answer_sum/cardinality/natural/p2,8.989916970486808e-23,223,3.638784382320244e-19,0.007124572393335276,3.972595897001463e-13,7.54867467822976e-07,defined,Lq_hit,group
C0,8.930813873602461e-10,0.8162600053551998,0.006934394411846827,1.563429478764527e-12,answer_sum/cardinality/natural/p2,2.1318963112814104e-26,420,3.3251480246728166e-20,2.454591136816276e-05,5.1045062036323165e-17,8.930814384053082e-10,defined,Lq_no_hit,group
C0,1.2036560259471452e-11,0.014190776395577564,7.72328533856737e-05,1.3381794685870007e-15,answer_sum/cardinality/natural/p2,2.1318963112814104e-26,252,5.348795745272646e-21,1.1311720338133396e-07,4.2070550030884156e-19,1.2036560680176952e-11,defined,gold_size_0,group
C0,4.9553831723852636e-08,0.6772465920923565,0.006321770598752209,9.554306455489147e-11,answer_sum/cardinality/natural/p2,2.2187993468446425e-21,328,6.725211796352019e-18,7.253068684252007e-05,3.760906306935473e-13,4.955420781448333e-08,defined,gold_size_1,group
C0,0.0016025093014030377,0.8162600053551998,0.044888186777338066,2.885544561070873e-06,answer_sum/cardinality/natural/p2,5.193039207991154e-12,63,2.1353713450501592e-10,0.21933277244773242,2.4788219874216323e-08,0.001602534089622912,defined,gold_size_2plus,group
CLnew,1.672598743855461e-07,0.9999978020517987,0.04374477227569796,4.826370346651791e-12,answer_sum/cardinality/natural/p2,1.4651955579182958e-24,643,1.704886600585662e-20,0.3050630549783335,2.5377303022328715e-16,1.6725987463931913e-07,defined,all,group
CLnew,0.0010913011377474348,0.9999978020517987,0.10323592681535473,1.939663611557926e-08,answer_sum/cardinality/natural/p2,3.1885384364987147e-19,223,5.836147571562692e-15,0.9223044790130852,2.440107521916745e-12,0.0010913011401875424,defined,Lq_hit,group
CLnew,2.281895489244033e-10,0.9916396873210997,0.012157802127261155,3.992781002761174e-14,answer_sum/cardinality/natural/p2,1.4651955579182958e-24,420,4.3425418345155046e-21,9.684783935912904e-05,3.923617459412677e-18,2.2818955284802075e-10,defined,Lq_no_hit,group
CLnew,1.98455883885601e-12,0.8278598695814918,0.004826566532734169,1.4794199770926397e-16,answer_sum/cardinality/natural/p2,1.4651955579182958e-24,252,2.5221030717179386e-21,9.452837895789166e-07,4.395042459127478e-19,1.984559278360256e-12,defined,gold_size_0,group
CLnew,9.095193525191089e-07,0.9999978020517987,0.04324439091294934,3.965964994180026e-11,answer_sum/cardinality/natural/p2,2.362580441343125e-22,328,7.032352813780577e-18,0.24614256433128903,1.088550139368075e-13,9.095194613741229e-07,defined,gold_size_1,group
CLnew,0.12600801178412166,0.9987326822213182,0.20202275535837133,0.00028881844446738806,answer_sum/cardinality/natural/p2,1.0027234601671778e-14,63,4.782453086648065e-12,0.9912930435025421,3.304627304129312e-08,0.1260080448303947,defined,gold_size_2plus,group
CD,1.235363621110413e-05,0.9999999424552439,0.09609580246196586,3.7209182512433054e-10,answer_sum/cardinality/natural/p2,9.72749703537298e-23,643,3.2738373071315614e-18,0.992429275839004,3.533758865295461e-13,1.2353636564480017e-05,defined,all,group
CD,0.01696551271484159,0.9999999424552439,0.1576406095631685,1.2149675561619874e-07,answer_sum/cardinality/natural/p2,3.5805364306734264e-22,223,9.646120513585841e-15,0.9999103000545659,2.86131942778781e-11,0.016965512743454786,defined,Lq_hit,group
CD,5.373058563608505e-07,0.9999996181954122,0.0634184405963273,6.189193062391774e-11,answer_sum/cardinality/natural/p2,9.72749703537298e-23,420,3.7287649083284335e-19,0.9633774992714695,5.1014295253427377e-14,5.373059073751458e-07,defined,Lq_no_hit,group
CD,1.7863208062188315e-09,0.999991198228071,0.02064809385807904,1.4490875501450058e-12,answer_sum/cardinality/natural/p2,9.72749703537298e-23,252,8.827222578761807e-20,0.005161930336857024,3.662347411615517e-16,1.7863211724535727e-09,defined,gold_size_0,group
CD,7.0818916699107655e-06,0.9999989070195681,0.06705959886512529,3.527652763418045e-09,answer_sum/cardinality/natural/p2,1.477857122691232e-18,328,2.7825518398332666e-14,0.7865220147859,8.544900457194829e-12,7.081900214811223e-06,defined,gold_size_1,group
CD,0.996362899142086,0.9999999424552439,0.549059252429318,0.8350668312058487,answer_sum/cardinality/natural/p2,4.660834907218724e-13,63,1.4439771864657541e-08,0.9999997688644104,0.0034926631385646546,0.9998555622806506,defined,gold_size_2plus,group
CLDnew,1.3662673671892482e-05,0.9999999964765645,0.11598620911966723,1.7400981400305262e-10,answer_sum/cardinality/natural/p2,3.724220380288524e-22,643,1.639308896633246e-17,0.999472130328097,2.428023795777544e-13,1.366267391469486e-05,defined,all,group
CLDnew,0.17371712462814187,0.9999999964765645,0.23140151633502187,2.0656355948044793e-08,answer_sum/cardinality/natural/p2,3.312964376139241e-18,223,3.4558851048077246e-15,0.9999803489576675,4.426346435223742e-12,0.17371712463256822,defined,Lq_hit,group
CLDnew,2.7165363564214995e-07,0.9999997337453882,0.05470617695532416,2.0637913014313837e-11,answer_sum/cardinality/natural/p2,3.724220380288524e-22,420,2.30908204951811e-18,0.5268429763484523,6.622225626992479e-14,2.7165370186440623e-07,defined,Lq_no_hit,group
CLDnew,2.7894967528834496e-09,0.9999951886199858,0.021697947319229596,6.870884386729265e-13,answer_sum/cardinality/natural/p2,3.724220380288524e-22,252,1.2062400862240653e-19,0.001081608966964064,2.0244363490875748e-15,2.7894987773197986e-09,defined,gold_size_0,group
CLDnew,2.548790458821557e-05,0.9999999268053976,0.09362851895859921,5.78134333054072e-10,answer_sum/cardinality/natural/p2,3.312964376139241e-18,328,6.339957927674669e-15,0.9939569723410769,1.3690212114015298e-12,2.5487905957236783e-05,defined,gold_size_1,group
