兄弟 | 还不认亲 | Racism | hate [END]
安徽人 | 大多数在网上太老实了，甚至弱势 | non-hate | non-hate [END]
欧美主体民族 | 基本没多少了 | Region | hate [END]
皮套人 | 还真的有粉丝？ | Sexism | hate [END]
None | 图个器大活好吧 | Sexism | hate [END]
昆仑奴 | 攻击 | Racism | hate [END]
你们这些从心理到生理都变态点玩意儿 | 变态 | LGBTQ | hate [END]
男人 | 武力已经被削得越来越弱了 | non-hate | non-hate [END]
安徽 | 在上海被歧视 | Region | hate [END]
None | 不结婚就完事了 | Sexism | hate [END]
北方人上人 | 认为南方人是野蛮人 | Region | hate [END]
苏北最穷的地方 | 能吊打中国的大部分城市 | Region | hate [END]
你 | 能不能销号啊 | non-hate | non-hate [END]
嫁黑人 | 就去非洲 | Sexism | hate [END]
嘿嘿 | 那不是一般的思想 | Sexism | hate [END]
我们的学校 | 妓院 | others | hate [END]
亩人 | 需要被尊重？ | Sexism | hate [END]
有人 | 爱吃煤 | non-hate | non-hate [END]
黑人 | 反观黑人 | Racism | hate [END]
同性恋 | 别举报 | LGBTQ | hate [END]
小仙女 | 爆杀 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | Sexism | hate [END]
知乎很多东北人 | 喜欢代表北方，挑起南北对立 | Region | hate [END]
男的 | 下面就不会这么祥和了，得被骂得满脸血 | Sexism | hate [END]
哈尔滨男人 | 好惨 | non-hate | non-hate [END]
中国原住民 | 被大猩猩不当命 | Racism | hate [END]
美国 | 太乱了 | non-hate | non-hate [END]
你老公 | 可能会离婚 | non-hate | non-hate [END]
吴签 | 没有宁波黑人高端 | Region | hate [END]
东夷 | 铸造华夏族的重要一部分 | non-hate | non-hate [END]
你 | 走路漏屎 | non-hate | non-hate [END]
男的 | 知道也不是全部女生都会找黑人 | non-hate | non-hate [END]
你这个** | 还想当吧主 | non-hate | non-hate [END]
你 | 去非洲跟黑人去说理性去 | Racism | hate [END]
江苏 | 地域黑十斗，江苏人独占八斗 | Region | hate [END]
小红书上面的女的 | 基本一个比一个丑 | Sexism | hate [END]
你他们 | 如果他们没有强大的宣传机器，你再看看风评 | non-hate | non-hate [END]
国党 | 故意搞分裂 | non-hate | non-hate [END]
女权 | 打压男性 | Sexism | hate [END]
上海夫妻 | 被批判 | Region | hate [END]
我发布的文章 | 说我带有歧视 | non-hate | non-hate [END]
温州 | 骗子最多的城市 | Region | hate [END]
川渝 | 很歧视北方 | Region | hate [END]
大病 | 人传人 | non-hate | non-hate [END]
蛤蚧 | 又替黑非洲来抢劫埃及文明啦 | Racism | hate [END]
黑贵人 | 用定时化学武器消灭黑贵人，不留一丝痕迹。 | Racism | hate [END]
txl | 变态 | LGBTQ | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
害你的那个人 | 坐牢坐到死 | non-hate | non-hate [END]
尼 | 千万不可以精尼 | Racism | hate [END]
小仙女 | 人手一箱舍得酒 | Sexism | hate [END]
前男友 | 黑人 | Racism | hate [END]
傻B女⭕️ | 刷个抖音都有 | Sexism | hate [END]
虫类及其后代虫混 | 拉美人外全球第二大贩毒和运毒和磕药的大户 | Region | hate [END]
地域黑喷子 | 黑不到自己时就成为帮凶😄 | Region | hate [END]
找泥搁的女人 | 智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄 | Sexism | hate [END]
我 | 男同 | non-hate | non-hate [END]
黑人 | 专门勾搭中国妇女 | Sexism | hate [END]
直男扳弯 | 和所谓矫正同性恋一样，都不过是城乡故事，并没有任何医疗临床证实 | LGBTQ | hate [END]
广东人 | 坏事 | Region | hate [END]
幕刃 | 真的该死 | Sexism | hate [END]
女人 | 真的没脑子 | Sexism | hate [END]
卡菲勒 | 同性恋 | LGBTQ | hate [END]
你 | 发这些什么目的 | non-hate | non-hate [END]
变态基佬 | 提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的 | Region | hate [END]
他 | 很伟大的科学家 | non-hate | non-hate [END]
河南新疆回族人 | 3头不是人 | Region | hate [END]
黑人 | 好色 | Racism | hate [END]
None | 好怂喔，饭桶吧主就这战力？ | non-hate | non-hate [END]
通讯录 | 薄纱有性别焦虑问题 | LGBTQ | hate [END]
我 | 完全同意你找 | non-hate | non-hate [END]
这男的父母 | 看见我想这老师会被打死 | non-hate | non-hate [END]
这个故事 | 没有被全国黑过的地方，不是太穷，就是太怂 | Region | hate [END]
这个尼 | 太恶心人了！ | Racism | hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | non-hate | non-hate [END]
黑乐色 | 一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术罢了 | Sexism | hate [END]
你 | 疯狗 | non-hate | non-hate [END]
你 | 绝对不是他说的那种要一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 心地善良 | Sexism | hate [END]
女性地位 | 能提高的的确确是好的趋势 | non-hate | non-hate [END]
女拳师 | 经费没覆盖？ | Sexism | hate [END]
北京 | 外地逼 | Region | hate [END]
能上知乎搞地域歧视的人 | 现实生活里大概率也成不了啥事 | non-hate | non-hate [END]
你们这种人 | 跑得出去？ | non-hate | non-hate [END]
他们 | 一群南蛮搞的鬼 | Region | hate [END]
女方 | 不扯结婚证啥事儿没有，再BB直接赶出门 | Sexism | hate [END]
黑蛆 | 是不是“人” | Racism | hate [END]
None | 没有一个拳师冲 | Sexism | hate [END]
他 | 估计在中国他的味道肯定会很受欢迎吧 | Racism | hate [END]
西藏和青海的网友 | 上网那么久就没见过 | non-hate | non-hate [END]
度度 | 拿不出证据的话能不能给我道歉啊 | non-hate | non-hate [END]
这一类人 | 种花家的不幸 | others | hate [END]
同性恋 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
None | 轮着黑 | Racism | hate [END]
你这老僵尸 | 要被举报了 | non-hate | non-hate [END]
你 | 差与猩猩终成眷属了！? | Racism | hate [END]
你 | 不会是反串 | non-hate | non-hate [END]
恩施的卷子 | 确定不是黄冈的卷子吗 | non-hate | non-hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上海暴雨 | 淹死上海人❤️ | Region | hate [END]
阳光彩虹小黑马 | 摘完棉花吃西瓜 | Racism | hate [END]
中国人 | 低人一等 | Racism | hate [END]
民族 | 自信不够 | non-hate | non-hate [END]
中国人 | 不够多 | non-hate | non-hate [END]
毛妹 | 比老黑那还厉害👍 | Sexism | hate [END]
你 | 自己玩游戏玩的不好，还骂别人 | non-hate | non-hate [END]
安徽人 | 不坏 | non-hate | non-hate [END]
大家 | 一起讨论 | non-hate | non-hate [END]
我 | 个人并不认同 | non-hate | non-hate [END]
你 | 什么审美 | Racism | hate [END]
这狗比贱货 | 打死 | Sexism | hate [END]
南满 | 不是人 | Region | hate [END]
宁波工程外教 | 老好人 | non-hate | non-hate [END]
抖音上那群老板 | 霍霍非洲世界小姐们 | Sexism | hate [END]
女性 | 生产力以及其占有的生产关系远不及男性 | Sexism | hate [END]
lkd | 随机带走几个 | LGBTQ | hate [END]
同性恋 | 很恶心 | LGBTQ | hate [END]
黑人 | 非洲国家乌干达 | non-hate | non-hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
None | 反自己民族主义 | non-hate | non-hate [END]
黑人 | 作死害百姓 | Racism | hate [END]
国女 | 私信炸了 | Sexism | hate [END]
很多人 | 闻见狐臭会生理反应，心口刺痛 | non-hate | non-hate [END]
你 | 应当拥有自由 | non-hate | non-hate [END]
黑人 | 心理膈应 | Racism | hate [END]
现代女生 | 都接受教育了 | non-hate | non-hate [END]
女的 | 哪个不是这样啊 | non-hate | non-hate [END]
他 | 对妻子不负责任 | non-hate | non-hate [END]
印度人 | 女的 | Racism | hate [END]
None | 去喜欢中国的地方留学 | non-hate | non-hate [END]
非洲 | 必须去非洲 | Region | hate [END]
女性 | 接受高等教育比例超过男性 | non-hate | non-hate [END]
zzzq | 都魔怔了 | non-hate | non-hate [END]
蝈腩 | 谦虚点 | Sexism | hate [END]
它们 | 穷是他们自己懒惰 | Region | hate [END]
这个女人 | 没死 | non-hate | non-hate [END]
玉米的黄油 | 艾 | others | hate [END]
南方人 | 怎么骂东北人的 | Region | hate [END]
河南 | 可能会有偷盗的行为 | non-hate | non-hate [END]
女籍 | 开除 | Sexism | hate [END]
陕西关中人和陕南人 | 黑陕北人 | Region | hate [END]
某些山驴b | 喜欢拉黑本大爹 | Region | hate [END]
她们 | 自甘堕落带给我的只有怒其不争的悲伤 | Sexism | hate [END]
黑蛆 | 清清楚楚计划 | Racism | hate [END]
穷 | 原罪? | Region | hate [END]
None | 国家绝不会允许这种东西大行其道 | non-hate | non-hate [END]
黄种人 | 不care | non-hate | non-hate [END]
黑人 | 土人的一种？ | non-hate | non-hate [END]
几个视频 | 都看过 | non-hate | non-hate [END]
eg的名头 | 老外安上去 | Racism | hate [END]
这种女的 | 不就是典型的玩的浪不顾家？ | Sexism | hate [END]
男的 | 会有玩玩黑人里的美女的想法 | Sexism | hate [END]
同性恋 | 一群恶心人的在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 不好的印象 | Region | hate [END]
ezg | 我们也没办法 | Sexism | hate [END]
西方 | 为了用身份政治来控制人民 | Region | hate [END]
你 | 大和民族 | Sexism | hate [END]
她们 | 喜欢拳 | Sexism | hate [END]
黑人 | 太容易得到中国女生了 | Sexism | hate [END]
你 | 贵物 | non-hate | non-hate [END]
南昌市 | 天下英雄城 文明南昌市🐶 | non-hate | non-hate [END]
达雷尔·布鲁克斯 | 被定罪的性犯罪者 | non-hate | non-hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | hate [END]
你的评论 | 会伤害到别人 | non-hate | non-hate [END]
深柜 | 竟在反同身边 | LGBTQ | hate [END]
None | 年度格斗场 | non-hate | non-hate [END]
某些txl | 还是要不要自欺欺人了 | LGBTQ | hate [END]
上海人 | 会在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他 | Region | hate [END]
艾滋病 | 好好治也能活很久的 | non-hate | non-hate [END]
安徽 | 没啥存在感 | Region | hate [END]
这个题主 | 反串女 | Sexism | hate [END]
物种问题 | 没得谈 | Racism | hate [END]
黑人 | 又发黑人丑照 | Racism | hate [END]
基佬 | 艾滋 | LGBTQ | hate [END]
女拳 | 针对女拳而已 | Sexism | hate [END]
她 | 中资企业还雇佣她吧 | non-hate | non-hate [END]
回族 | 有什么问题？ | non-hate | non-hate [END]
男人 | 自律一点，不要婚前性行为，也不要婚后嫖娼 | Sexism | hate [END]
米国的事 | 各位就别管了 | non-hate | non-hate [END]
內個虛空法師 | 猪精 | others | hate [END]
处女膜 | 流血 | non-hate | non-hate [END]
南方 | 为何你觉得南方比北方穷 | non-hate | non-hate [END]
None | 撑同 | non-hate | non-hate [END]
河南人 | 出了事全算河南人头上 | Region | hate [END]
基狫 | 打出血了 | LGBTQ | hate [END]
性别比例 | 不知道为什么，最近总是听到有人在说这个问题 | non-hate | non-hate [END]
娶黑人 | 也会被骂 | Sexism | hate [END]
小红书资深用户 | 妆改容貌焦虑 | Sexism | hate [END]
河南人 | 被黑成贬义词 | Region | hate [END]
极端nc女人 | 淘汰 | Sexism | hate [END]
地域黑 | 明明视频里的人的口音就不是河南的，新闻标题非要扣到河南头上😭 | Region | hate [END]
中国女人 | 大家不信中国女人了 | Sexism | hate [END]
小仙女 | 就是想做 | Sexism | hate [END]
情商 | 太低 | non-hate | non-hate [END]
评论区 | 谁破防了 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 大开眼界 | Region | hate [END]
你 | 长啥样 | non-hate | non-hate [END]
你 | 活在这个世界上的唯一理由就是拿这些个例中的个例还有一些我估计你都不知道什么意思的所谓哲学家说过的话告诉我们女性对世界贡献更大 | Sexism | hate [END]
人家 | 带着任务赚流量的🤣 | non-hate | non-hate [END]
同性恋的支持者 | 一群NT在官配CP或后宫番里面刷男男或女女CP | LGBTQ | hate [END]
你 | 读书读糊涂了 | non-hate | non-hate [END]
以前的工作 | 大都是体力活，干净不了 | non-hate | non-hate [END]
姐姐 | 你的圈子有点小啊 | non-hate | non-hate [END]
黑哥 | 常规操作了 | Racism | hate [END]
我 | 不懂什么是踩评论 | non-hate | non-hate [END]
她们 | 自低自贱 | Sexism | hate [END]
河南人 | 还不错 | non-hate | non-hate [END]
吧里有些老哥 | 看不到所谓主要矛盾 | non-hate | non-hate [END]
这些女的 | 最后浪完回头找国内的 | Sexism | hate [END]
琪贵人 | 发誓的时候你想掐死她吗？ | Sexism | hate [END]
台资 | “声名远扬” | non-hate | non-hate [END]
黑吹子 | 有啥可说的 | Racism | hate [END]
老外 | 怪 | Racism | hate [END]
黑人 | 原始社会 | Racism | hate [END]
猩动保人士 | 爱猩动保人士 | non-hate | non-hate [END]
这边 | 20年 | non-hate | non-hate [END]
街留子 | 要了马上就降两档次 | Racism | hate [END]
我 | 听不懂 | non-hate | non-hate [END]
嘿枸 | 全无法容忍嘿枸做饿 | Racism | hate [END]
同性恋 | 恶心 | LGBTQ | hate [END]
它 | 抽它一耳光 | non-hate | non-hate [END]
重庆 | 反同 | LGBTQ | hate [END]
同性恋 | 弄死他们 | LGBTQ | hate [END]
基佬 | 真不是一般的恶心 | LGBTQ | hate [END]
txl | 去死 | LGBTQ | hate [END]
果子狸 | 前几年很嚣张 | non-hate | non-hate [END]
国男 | 性获取难度 | Sexism | hate [END]
我们内地 | 被他们黑得很惨 | Region | hate [END]
女拳 | 无C阶J应该是一个整体，而不是男人和女人，更不应该只争取某单一性别的权益 | Sexism | hate [END]
彩礼 | 违法 | non-hate | non-hate [END]
喵神 | 把事情说透了，还能让人挑不出骨头来！👍👍👍 | non-hate | non-hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
哥布林 | 不出现在人类面前的哥布林才是好哥布林 | Racism | hate [END]
我山东人 | 自然比不上gdp第二 | non-hate | non-hate [END]
杨圣母 | 出来恶心全体男性的时候怎么看不到它站出来 | Sexism | hate [END]
中国 | 配不上你，仙女的气质 | Sexism | hate [END]
你们男的 | 不要碰女的我看到你们就恶心 | Sexism | hate [END]
国内的接盘侠 | 感染艾滋病 | Sexism | hate [END]
黑人 | 去读黑人人种研究的书吧 | Racism | hate [END]
easy girl | 这也比国男好得多 | Sexism | hate [END]
答主 | 代表了大部分人的想法 | non-hate | non-hate [END]
畒 | 破防啦 | Sexism | hate [END]
河南人 | 不招河南人 | Region | hate [END]
那个男的 | 一辈子抬不起头 | Sexism | hate [END]
反同小将 | 战淋 | LGBTQ | hate [END]
b乎 | 人均985 | non-hate | non-hate [END]
东北人 | 很讨厌 | Region | hate [END]
人形畜狌 | 只有本能 | Racism | hate [END]
四川各大高校 | 根本不是 | non-hate | non-hate [END]
贴吧系统 | 多发几次就行了 | non-hate | non-hate [END]
中国女人 | 不是那样的中国女人了 | non-hate | non-hate [END]
唐朝前期的公主外嫁 | 和后面的五胡乱华有很大关系 | non-hate | non-hate [END]
魔方基因 | 一听就不靠谱😆 | Racism | hate [END]
结了婚的通讯录 | 在当今社会不出瑰的几乎为零 | Sexism | hate [END]
这个 | 友军 | non-hate | non-hate [END]
宁 | 比得上人家吗 | non-hate | non-hate [END]
你 | 你的意见有个屁用 | non-hate | non-hate [END]
这几个博主 | 到处蹭热度 | Region | hate [END]
这女的 | 有精神类疾病 | Sexism | hate [END]
gay | 臭gay | LGBTQ | hate [END]
重男轻女 | 存在的 | non-hate | non-hate [END]
鼻涕虫交配 | 恶心 | Racism | hate [END]
easy girl | 崇媚洋外 | Sexism | hate [END]
一个穿衣服的猩猩 | 完全是掩盖其兽性，转移目标 | Racism | hate [END]
你这种烂鲍鱼 | 普信女 | Sexism | hate [END]
有些欧洲小国 | 对中国人印象不错 | non-hate | non-hate [END]
基佬 | 炼铜 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
这种垃圾 | 不值得生气 | others | hate [END]
这样的男女 | 跟黑人出国 | Sexism | hate [END]
河南 | 黑河南就觉得大家只是玩梗~玩梗～还要劝河南人别玩不起🙄 | Region | hate [END]
普信男 | 提出，必会带出普信女 | Sexism | hate [END]
你 | 基因“本能”厌恶同性恋 | LGBTQ | hate [END]
主页 | 和不同的白楠yy | Sexism | hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
這男的 | 据说好像还原谅了她 | non-hate | non-hate [END]
微博 | 能是什么好地方 | non-hate | non-hate [END]
贵物男拳帖 | 被删了 | Sexism | hate [END]
舔狗约炮 | 都必须体验分娩 | Sexism | hate [END]
这只狗狗 | YD长在了猩猩身上 | Racism | hate [END]
拳师 | 日常化的高级妆 | Sexism | hate [END]
浙江 | 气候而言。并不宜居 | non-hate | non-hate [END]
东北河南 | 一家亲 | non-hate | non-hate [END]
三非黑人 | 该驱逐驱逐 | Racism | hate [END]
这种 | 为牢房准备的犯人 | non-hate | non-hate [END]
txl | 没码 | LGBTQ | hate [END]
兄弟 | 口味有点重 | non-hate | non-hate [END]
你 | 还我们滦河水！😠 | Region | hate [END]
我 | 咋没看到反串差评 | non-hate | non-hate [END]
基佬 | 它们在现实生活中活得太憋屈了 | LGBTQ | hate [END]
第二个 | 母吠删我评 | Sexism | hate [END]
你们同性恋 | 饥不择食 | LGBTQ | hate [END]
好看的靴子 | 都是为女人设计的！ | non-hate | non-hate [END]
美国 | 在美国做乞丐 | Region | hate [END]
东北 | 被黑的最惨的 | Region | hate [END]
雀食男同 | 恶心 | LGBTQ | hate [END]
这玩意 | 谁把这玩意从笼子里面放出来的 | non-hate | non-hate [END]
江西和苏北 | 八竿子打不着 | non-hate | non-hate [END]
好人 | 就该被枪指着 | non-hate | non-hate [END]
黑人女性 | 正常中国男人会跟黑人女性交往吗… | Sexism | hate [END]
800的小姐 | 能提非常高的情绪价值 | Sexism | hate [END]
硅南 | 能不能死一死？ | Sexism | hate [END]
None | 不想别人歧视，就先停止对别人的歧视 | non-hate | non-hate [END]
嘿枸 | 涤清圣土桖洗嘿枸 | Racism | hate [END]
江浙 | 地域黑最多 | Region | hate [END]
广东人 | 以为攻击广西自己就不东南亚了？ | Region | hate [END]
理中派 | 最可恶 | others | hate [END]
安徽 | 被黑很惨 | Region | hate [END]
黑人 | 不要跟外国人上床、恋爱甚至结婚 | Racism | hate [END]
女儿 | 不要嫁 | Sexism | hate [END]
吴越（包括上海本地） | 占大概70-80% | non-hate | non-hate [END]
日本女人 | 媚白 | Sexism | hate [END]
黑人 | 事太多了 | Racism | hate [END]
我们同性恋 | 太正确了 | non-hate | non-hate [END]
黑家伙 | 偏要找个黑家伙 | Racism | hate [END]
国内国外 | 都有反对的 | non-hate | non-hate [END]
非洲很多国家 | 没经历过早期摇篮就想直接浩瀚星宇，很蓝的啦 | Region | hate [END]
外籍男子 | 醉酒闹事、公然袭警 | non-hate | non-hate [END]
你 | 这波种族歧视我服 | Racism | hate [END]
txl群体 | 一个个都能自己给txl群体下定义呢😆 | LGBTQ | hate [END]
犹太教 | 只有资本家才能入犹太教当犹太人 | non-hate | non-hate [END]
腐癌 | 那不是腐癌？? | LGBTQ | hate [END]
我 | 岭南山区的 | non-hate | non-hate [END]
国男 | 想想怎么让自己不接盘更实际 | Sexism | hate [END]
你 | 在现实见到黑人也这么说？ | non-hate | non-hate [END]
男孩子 | 惨唉😔 | non-hate | non-hate [END]
帝国主义 | 亡我中华之心不死 | others | hate [END]
喜欢搞地域黑的三大区域 | 长三角三省市，珠三角，西部某都 | Region | hate [END]
安徽人 | 被黑的原因应该跟河南差不多的😅 | non-hate | non-hate [END]
有些直男 | 单纯恶心 | LGBTQ | hate [END]
女权 | 杀光女权，一个不留！ | Sexism | hate [END]
下面那个回复 | 太有才了 | non-hate | non-hate [END]
女人 | 我从来不看女人的朋友圈 | Sexism | hate [END]
同性恋 | 收敛一些 | non-hate | non-hate [END]
你 | 跨物种恋爱 | non-hate | non-hate [END]
嘿 | 跪舔嘿看到后很不开心 | Racism | hate [END]
你 | 可以和男人doi的 | non-hate | non-hate [END]
基佬 | 恶心 | LGBTQ | hate [END]
河南话 | 中原官话范围有多大 | non-hate | non-hate [END]
幕刃 | 给我添堵 | Sexism | hate [END]
我 | 既可爱又帅气 | non-hate | non-hate [END]
春哥 | 他（她）兼具了男人的阳刚和女人阴柔 | LGBTQ | hate [END]
东北人 | 地域歧视 | Region | hate [END]
更多对同性恋抱有偏见的人 | 通过侮辱诅咒同性恋 | LGBTQ | hate [END]
None | 恐婚 | Sexism | hate [END]
None | 不为中国人生孩子，却为外国黑人生后代 | Racism | hate [END]
河南 | 黑河南都偷井盖，坏人多，素质差 | Region | hate [END]
卡肺囊虫肺炎和隐脑 | 大几率会死人 | others | hate [END]
他 | 选择了转移话题 | non-hate | non-hate [END]
女拳 | 男性会被女性压着 | Sexism | hate [END]
底层男人 | 要求另一半是处？ | Sexism | hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | Racism | hate [END]
wb | 纯杀软 | Sexism | hate [END]
江苏 | 小市民思想比较重 | Region | hate [END]
歪国敌特和网特分裂势力 | 彻底解决 | Racism | hate [END]
华裔警察 | 什么也没做 | non-hate | non-hate [END]
黑北京的 | 哪有黑上海的多 | Region | hate [END]
媒体 | 从大到小，好事就算东北人做的只提发生地点（南方），坏事就算南方人在东北做的也只提东北 | Region | hate [END]
十八线小城 | 几个外国人？😓 | non-hate | non-hate [END]
河南人 | 最了解被地域黑的痛苦 | non-hate | non-hate [END]
同性恋 | 可耻的！是错误的！是会破坏世界的！ | LGBTQ | hate [END]
西安人 | 死绝🙂 | Region | hate [END]
辽宁 | 真没资格鄙视中部 | non-hate | non-hate [END]
这女的 | 贵物 | Sexism | hate [END]
同性恋 | 用大便来形容 | LGBTQ | hate [END]
你 | 很狭隘 | non-hate | non-hate [END]
中国男人 | 不配我们中国女人🙂 | Sexism | hate [END]
慕刃 | 把环境都搞臭了 | Sexism | hate [END]
占我们便宜的 | 都得死😄 | others | hate [END]
例子 | 生动有趣 简洁明了 | non-hate | non-hate [END]
中国男女对立 | 只存在网络上 | non-hate | non-hate [END]
tg，bbc+china | 有攒劲的节目 | non-hate | non-hate [END]
广东人 | 长得好看 | non-hate | non-hate [END]
你 | 211的书怕是白念了？ | non-hate | non-hate [END]
她们 | 明明那么普通却那么自信 | Sexism | hate [END]
河北 | 最没有存在感 | Region | hate [END]
你 | 写的这是玄幻小说吧 | non-hate | non-hate [END]
黑人 | 一个都混不下去 | Racism | hate [END]
贵州 | 不是我们穷就是说素质差😅 | Region | hate [END]
恐同 | 深柜实锤 | LGBTQ | hate [END]
基佬 | 一堆屎 | LGBTQ | hate [END]
炸鸡 | 好吃 | non-hate | non-hate [END]
女人 | 呵呵 | Sexism | hate [END]
同性 | 排斥同性的表白跟排斥自己不喜欢的异性的表白是一样的啊 | non-hate | non-hate [END]
黑 | 平均智商低到下限 | Racism | hate [END]
印度低种姓 | 那是女人不化妆 | Region | hate [END]
资本 | 想捏死就捏死，连个p都不算 | non-hate | non-hate [END]
txl | 再不管管，气候变暖又要加重了 | LGBTQ | hate [END]
我 | 不是男人 | non-hate | non-hate [END]
他们 | 管不了 | non-hate | non-hate [END]
呜丫丫 | 一片一般是早高峰的上班狗 | Sexism | hate [END]
鬼母跟几个 | 苟延残喘 | Sexism | hate [END]
默 | 被默玩腻了就会找老实人接盘 | Racism | hate [END]
处女崇拜 | 很大的群体 | Sexism | hate [END]
寄生虫 | 啥都指望男人也配谈女权和男女平等 | Sexism | hate [END]
腐癌 | 他们根本就不支持同性恋 | LGBTQ | hate [END]
女的 | 打女拳？就你们女的能扭？ | Sexism | hate [END]
梅事的 | 艾呀 | others | hate [END]
None | 井底之蛙 | non-hate | non-hate [END]
我们中国 | 太强啦😆 | non-hate | non-hate [END]
同 | 反同力量 | LGBTQ | hate [END]
河南人 | 每个地方都会有坏人😢 | non-hate | non-hate [END]
你 | 没有男的会喜欢你 | Sexism | hate [END]
我 | 是黑人有很多漂亮的985/211中国女友 | non-hate | non-hate [END]
你 | 自卑没有自信还是有艾不能见人吗？ | others | hate [END]
同性恋 | 爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ | hate [END]
网上挑起性别对立的 | 猪精 | Sexism | hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ | hate [END]
你 | 生活如意 | non-hate | non-hate [END]
兄弟 | 报团去微博冲 | non-hate | non-hate [END]
上海 | 被排外多么严重 | Region | hate [END]
txl | 没吗 | LGBTQ | hate [END]
它母上 | 应该多融合 | Sexism | hate [END]
优秀人才 | 另当别论 | non-hate | non-hate [END]
她 | 顺从她就好了 | non-hate | non-hate [END]
答主 | 喷人也不违法 | non-hate | non-hate [END]
我们班的上海人 | 拿鼻孔看人 | Region | hate [END]
黑人 | 绝对不要跟黑人在一起过的 | Racism | hate [END]
南方 | 经济制裁 | Region | hate [END]
舔狗 | 去死吧 | Sexism | hate [END]
你们江北 | 只准你们讲别人，别人说你们就成地域黑 | Region | hate [END]
这波 | 愚蠢的山姆 | non-hate | non-hate [END]
这句话 | 出处啊 | non-hate | non-hate [END]
会打鼓的人 | 很带劲 | non-hate | non-hate [END]
基佬 | 罪证合集 | LGBTQ | hate [END]
同性恋 | 断子绝孙 | LGBTQ | hate [END]
我 | 193 | non-hate | non-hate [END]
韩国人 | 娘炮 | Region | hate [END]
腐女 | 乱磕cp | LGBTQ | hate [END]
女拳主义 | 反对 | non-hate | non-hate [END]
美国黑人马丁路德金 | 非常有文化的人 | non-hate | non-hate [END]
非洲黑人 | 不喜欢 | Racism | hate [END]
河南跟安徽 | 被黑的对象 | Region | hate [END]
电脑 | 不能投票？ | non-hate | non-hate [END]
我 | 没看我是高级黑吗 | non-hate | non-hate [END]
腐女 | 大部分是腐女 | Sexism | hate [END]
黑龙江人 | 你们黑龙江人干的好事 | Region | hate [END]
甘肃人 | 没有存在感😢 | Region | hate [END]
齐齐哈尔人 | 也考来了抚顺 | non-hate | non-hate [END]
这个垃圾 | 天天刷屏 | non-hate | non-hate [END]
黑人 | 人均寿命黑人第一 | non-hate | non-hate [END]
这女的 | 快手号多少 | non-hate | non-hate [END]
仙女 | 放大屁 | Sexism | hate [END]
母畜 | 能干得出来这种事 | Sexism | hate [END]
这些类人猿 | 繁殖速度太快 | Racism | hate [END]
默 | 真太不知廉耻了 | Racism | hate [END]
湖北 湖南 河南 | 大概率也不会愿意和西部玩的😆😆😆 | Region | hate [END]
华夏民族和非洲民族 | 智商相差1000代人的进化 | Racism | hate [END]
河南和东北 | 被黑的很大原因 | Region | hate [END]
铌铬 | 想想什么人会77%没有父亲吧 | Sexism | hate [END]
国际母狗 | 迷之自信 | Sexism | hate [END]
女性 | 不婚不育还是太少了 | Sexism | hate [END]
以色列 | 生育率居然这么高 | non-hate | non-hate [END]
小作文 | 脑子都不要了 | Sexism | hate [END]
非洲部落 | 他们部落认为，如果自己部落的年轻女孩结婚了，如果她们还是处女，她们会给部落带来厄运 | Region | hate [END]
老子 | 脱发 | non-hate | non-hate [END]
韩国 | 比较正常 | non-hate | non-hate [END]
结婚的 | 还是太多了 | non-hate | non-hate [END]
这 | 太不公平了 | non-hate | non-hate [END]
它们 | 只会骂中国男性，🐑跌跪舔还来不及呢 | Sexism | hate [END]
中世纪魔女审判 | 快赶上中世纪魔女审判了 | others | hate [END]
基佬 | 真丢人 | LGBTQ | hate [END]
男宝 | 会爱她吗？ | Sexism | hate [END]
百度 | 正义的百度 | non-hate | non-hate [END]
河南 | 担吗😆 | Region | hate [END]
任何话 | 都有一定道理的🤣🤣🤣 | non-hate | non-hate [END]
小北 | 很多黑人 | Region | hate [END]
她 | 恶心加反胃 | Sexism | hate [END]
动物袭击 | 直接击毙就好了 | non-hate | non-hate [END]
